CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
54,1000,0.1,77.9,3.2,4.695714286,44744704,2.968571429,121163190.9,40,40,39.87619048,828735488,8126898176
57,1000,0.1,77.9,3.1,4.64952381,44744704,2.97,121843907,40.9047619,46,36,828719689.1,8126898176
60,1000,0.1,77.9,3.1,4.82,44744704,3.045,122441728,44.05,46.9,41.1,828651315.2,8126898176
63,1000,0.1,77.9,2.9,4.598095238,44744704,2.894285714,123915117.7,43.57142857,44.52380952,42.57142857,828637184,8126898176
66,1000,0.1,77.9,3.1,4.885,44744704,3.1,125072793.6,47.4,49.45,45.35,828696576,8126898176
69,1000,0.1,77.9,3.1,4.721904762,44744704,3.038095238,126049328.8,46.52380952,47.33333333,45.72380952,828806290.3,8126898176
72,1000,0.1,77.9,3,4.755,44744704,3.0085,127281766.4,49.8,50.35,49.15,828898508.8,8126898176
0,500,0.2,39.5,2.7,2.710526316,44744704,1.719473684,130596864,9.994736842,10.77894737,9.210526316,828519046.7,8126898176
3,500,0.2,39.5,2.8,2.785,44744704,1.72,130899968,11.37,12.1,10.74,828548915.2,8126898176
6,500,0.2,39.5,2.9,2.921,44744704,1.753,131279462.4,13.29,14.15,12.16,828721561.6,8126898176
9,500,0.2,39.5,2.9,2.9215,44744704,1.7655,131422412.8,14.705,15.49,13.71,828604416,8126898176
12,500,0.2,39.5,2.9,2.86,44744704,1.745,131312435.2,15.88,16.71,15.05,828590694.4,8126898176
15,500,0.2,39.5,2.9,2.775,44744704,1.7555,131755212.8,17.35,16.6,18.09,828720128,8126898176
18,500,0.2,39.5,2.8,2.7095,44744704,1.7175,131936870.4,18.9,19.65,18.35,828662579.2,8126898176
21,500,0.2,39.5,2.8,2.712857143,44744704,1.703333333,132073179.4,19.67142857,20.76190476,18.76190476,828609682.3,8126898176
24,500,0.2,39.5,2.9,2.522380952,44744704,1.72047619,132279344.8,21.14285714,20.16190476,22.04761905,828704670.5,8126898176
27,500,0.2,39.5,3.1,2.733619048,44744704,1.792857143,132349171.8,22.84285714,24.52380952,21.1047619,828668001.5,8126898176
30,500,0.2,39.5,3.2,2.997,44744704,1.806,132395417.6,25,24.25,25.85,828633292.8,8126898176
33,500,0.2,39.5,3.3,2.88952381,44744704,1.814285714,132449231.2,25.61904762,27.33333333,23.99047619,828786785.5,8126898176
36,500,0.2,39.5,3.2,2.824761905,44744704,1.819047619,132525299.8,27.14285714,26.9047619,27.35238095,828778398.5,8126898176
39,500,0.2,39.5,3.3,3.265,44744704,1.885,132530790.4,29.8,30.95,28.75,828605030.4,8126898176
42,500,0.2,39.5,3.3,3.0685,44744704,1.8825,132098662.4,31.15,33,29.4,828722380.8,8126898176
45,500,0.2,39.5,3.2,2.69952381,44744704,1.771428571,132617752.4,31.14285714,33.25714286,28.97142857,828827160.4,8126898176
48,500,0.2,39.5,3,2.504285714,44744704,1.742380952,132676851.8,32.14285714,30.66666667,33.57142857,828639134.5,8126898176
51,500,0.2,39.5,3.1,2.669,44744704,1.8535,132825702.4,35.25,34.75,35.9,828734054.4,8126898176
54,500,0.2,39.5,3.1,2.602857143,44744704,1.815238095,133197824,35.24285714,32,38.55238095,828794392.4,8126898176
57,500,0.2,39.5,3.4,2.848571429,44744704,1.827142857,133906432,37.04761905,34.23809524,39.66666667,828780934.1,8126898176
60,500,0.2,39.5,3.3,2.861904762,44744704,1.837142857,134353286.1,38.28571429,38.0952381,38.38095238,828810971.4,8126898176
63,500,0.2,39.5,3.3,2.85,44744704,1.857,134865715.2,41.1,38.15,44.1,828864716.8,8126898176
66,500,0.2,39.5,3.2,2.696666667,44744704,1.885714286,135438336,41.11904762,40.83809524,41.23809524,829075456,8126898176
69,500,0.2,39.5,3.2,2.58047619,44744704,1.778571429,136619739.4,42.14285714,38.38095238,45.71428571,828978517.3,8126898176
72,500,0.2,39.5,3,2.446190476,44744704,1.708095238,137347657.1,43.14285714,43.76190476,42.57142857,829060437.3,8126898176
0,1000,0.1,77.9,2.6,4.615,44744704,2.855,138036224,14.85,15.55,14.25,828929638.4,8126898176
3,1000,0.1,77.9,2.7,4.796666667,44744704,2.79047619,139445394.3,16.14285714,16.05714286,16.33333333,829103737.9,8126898176
6,1000,0.1,77.9,2.7,4.9,44744704,2.8845,140650086.4,18.2,19.45,16.95,828873113.6,8126898176
9,1000,0.1,77.9,2.7,4.841428571,44744704,2.809047619,141739934.5,19.01428571,19.55238095,18.52380952,828946139.4,8126898176
12,1000,0.1,77.9,2.7,4.745,44744704,2.926,142746419.2,21,21.65,20.25,828872089.6,8126898176
15,1000,0.1,77.9,2.7,4.885714286,44744704,2.81047619,143899501.7,21.93809524,22.37142857,21.36190476,828852906.7,8126898176
18,1000,0.1,77.9,2.9,4.9395,44744704,2.906,144685056,24,23.4,24.65,829067878.4,8126898176
21,1000,0.1,77.9,2.9,5.022857143,44744704,2.855238095,145616896,24.86666667,25.27619048,24.57142857,828993731,8126898176
24,1000,0.1,77.9,2.9,4.871428571,44744704,2.853333333,146015573.3,25.88095238,26.0952381,25.7047619,828838668.2,8126898176
27,1000,0.1,77.9,3,5.19,44744704,3.04,146264473.6,28.55,28.2,28.8,828992102.4,8126898176
30,1000,0.1,77.9,2.8,4.565238095,44744704,2.895238095,147148605,28.52380952,30.28571429,26.71428571,829156400.8,8126898176
33,1000,0.1,77.9,2.8,4.71,44744704,2.945,149155020.8,30.8,29.6,32.1,828832972.8,8126898176
36,1000,0.1,77.9,2.9,4.635714286,44744704,2.961428571,150026922.7,31.42857143,29.57142857,33.04761905,828698819,8126898176
39,1000,0.1,77.9,2.9,4.77,44744704,3.09,150899712,33.95,36.2,31.55,828893184,8126898176
42,1000,0.1,77.9,2.8,4.457619048,44744704,2.868571429,152189025.5,33.76190476,36.71428571,30.8952381,828951405.7,8126898176
45,1000,0.1,77.9,2.8,4.61,44744704,2.94,153707315.2,36.45,36.85,36.1,828940492.8,8126898176
48,1000,0.1,77.9,3.1,4.74952381,44744704,3.028571429,154990494.5,37.0952381,38.19047619,35.9047619,828891136,8126898176
51,1000,0.1,77.9,2.9,4.622857143,44744704,3.004761905,156146736.8,38.33333333,37.33333333,39.43809524,828912201.1,8126898176
54,1000,0.1,77.9,3.3,5.297619048,44744704,3.065238095,157554395.4,40.47619048,41.85714286,39.04761905,828918832.8,8126898176
57,1000,0.1,77.9,3.2,5.014285714,44744704,2.995238095,159331279.2,41.47619048,39.23809524,43.47619048,829068239.2,8126898176
60,1000,0.1,77.9,3.1,4.712380952,44744704,2.986190476,160671061.3,42.47619048,41.9047619,43.19047619,828943018.7,8126898176
