CPU Stress,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
6,1333,0.075,108.2,2.7,6.0265,44744704,3.5985,163032678.4,20.84,21.4,20.32,829245644.8,8126898176
9,1333,0.075,108.2,2.7,6.215,44744704,3.635,163114393.6,22.45,22.5,22.45,829397811.2,8126898176
12,1333,0.075,108.2,2.7,6.195,44744704,3.675,163092480,23.7,24.45,23,829467852.8,8126898176
15,1333,0.075,108.2,2.7,5.634761905,44744704,3.56047619,162938489.9,24.01428571,25.51428571,22.8,829329993.1,8126898176
18,1333,0.075,108.2,2.7,5.8815,44744704,3.7225,162333286.4,26.55,26.12,26.95,829297868.8,8126898176
21,1333,0.075,108.2,2.7,5.865,44744704,3.765,162376704,27.95,27.35,28.3,829364224,8126898176
24,1333,0.075,108.2,2.8,5.666190476,44744704,3.583333333,162681807.2,28.09047619,27.45714286,28.88571429,829234809.9,8126898176
27,1333,0.075,108.2,2.8,5.670952381,44744704,3.558095238,162928932.6,29.61904762,29.47619048,29.71428571,829271283.8,8126898176
30,1333,0.075,108.2,2.8,5.985,44744704,3.7385,163176038.4,32.45,32.1,32.6,829302169.6,8126898176
33,1333,0.075,108.2,2.8,5.87,44744704,3.76,163124428.8,33.45,35.7,31.25,829308723.2,8126898176
36,1333,0.075,108.2,2.8,5.696666667,44744704,3.58952381,162792594.3,33.52380952,34.06666667,33.0952381,829311268.6,8126898176
39,1333,0.075,108.2,2.7,5.576190476,44744704,3.531904762,162861446.1,34.76190476,35.0952381,34.41904762,829316925,8126898176
42,1333,0.075,108.2,2.9,5.98,44744704,3.855,162923724.8,38.15,40.65,35.8,829151027.2,8126898176
45,1333,0.075,108.2,3,5.828571429,44744704,3.728571429,162892653.7,38,36.54285714,39.4952381,829229348.6,8126898176
48,1333,0.075,108.2,3,5.813333333,44744704,3.686190476,162925811.8,39.38095238,39.28571429,39.60952381,829465356.2,8126898176
51,1333,0.075,108.2,3.1,6.076190476,44744704,3.712857143,162617831.6,40.93809524,43.95238095,38.1047619,829305027,8126898176
54,1333,0.075,108.2,3.1,6.405,44744704,3.865,162567577.6,44.1,42.75,45.6,829199769.6,8126898176
57,1333,0.075,108.2,3.1,5.998571429,44744704,3.776190476,162693315,43.52380952,45.28571429,41.77142857,829345792,8126898176
60,1333,0.075,108.2,3.1,5.80952381,44744704,3.845714286,162899285.3,44.76190476,44.85714286,44.80952381,829328432.8,8126898176
63,1333,0.075,108.2,3.1,6.08,44744704,4,162973696,48.25,46.35,50.45,829284352,8126898176
66,1333,0.075,108.2,3.1,5.89,44744704,3.831904762,163112472.4,48.0952381,42.38095238,53.66666667,829198336,8126898176
69,1333,0.075,108.2,3.1,5.899047619,44744704,3.766666667,163106816,49.04761905,44.23809524,53.52380952,829268553.1,8126898176
72,1333,0.075,108.2,3.2,5.933333333,44744704,3.817142857,162873344,50.23809524,53.66666667,47.04761905,829187803.4,8126898176
0,2000,0.05,154.3,2.6,7.938095238,44744704,4.79047619,163261878.9,22.58571429,23.47619048,21.45714286,829138456.4,8126898176
3,2000,0.05,154.3,2.7,7.894285714,44744704,4.831428571,163443468.2,24.25238095,24.87619048,23.47619048,829290203.4,8126898176
6,2000,0.05,154.3,2.7,7.84047619,44744704,4.818095238,163554645.3,25.28571429,26.22857143,24.34285714,829201651.8,8126898176
9,2000,0.05,154.3,2.7,7.966666667,44744704,4.828571429,163250371,26.57142857,26.55238095,26.66666667,829308342.9,8126898176
12,2000,0.05,154.3,2.6,8.1,44744704,4.865,163116851.2,28.65,28.4,28.8,829388800,8126898176
15,2000,0.05,154.3,2.9,8.61,44744704,4.880952381,163347114.7,30.35238095,31.44761905,29.16190476,829366077,8126898176
18,2000,0.05,154.3,2.8,8.076190476,44744704,4.96952381,163569469,31.19047619,32.71428571,29.59047619,829277525.3,8126898176
21,2000,0.05,154.3,2.8,8.080952381,44744704,5.052380952,163514270.5,32.77619048,34.36190476,31.52380952,829320435.8,8126898176
24,2000,0.05,154.3,2.9,8.195,44744704,5.05,163567001.6,35.05,35.45,34.6,829395353.6,8126898176
27,2000,0.05,154.3,2.8,7.791904762,44744704,4.772857143,164436845.7,34.57142857,35.28571429,33.76190476,829404696.4,8126898176
30,2000,0.05,154.3,3,8.033333333,44744704,5.123809524,171565836.2,36.57142857,36.19047619,36.85714286,829463600.8,8126898176
33,2000,0.05,154.3,3,8.242857143,44744704,5.028571429,173400064,38.04761905,39.52380952,36.47619048,829207113.1,8126898176
36,2000,0.05,154.3,3.2,8.425,44744704,5.24,174464409.6,40.9,41.85,39.95,828916326.4,8126898176
39,2000,0.05,154.3,3,7.897142857,44744704,4.85047619,175638040.4,40.23809524,42.19047619,38.42857143,829031570.3,8126898176
42,2000,0.05,154.3,3,7.947619048,44744704,5.028095238,177273124.6,42,42.04761905,42.0952381,829032935.6,8126898176
45,2000,0.05,154.3,3.1,8.161904762,44744704,5.138095238,179265731,43.33333333,44.47619048,41.85714286,828850761.1,8126898176
48,2000,0.05,154.3,3.1,7.996095238,44744704,5.006666667,180756870.1,44.7047619,46.59047619,42.76190476,828846080,8126898176
51,2000,0.05,154.3,3.3,8.339047619,44744704,5.104761905,183077546.7,46.19047619,47.23809524,45.33333333,828835157.3,8126898176
54,2000,0.05,154.3,3.3,8.293333333,44744704,5.172380952,185371111.6,47.66666667,44.38095238,50.9047619,828848810.7,8126898176
57,2000,0.05,154.3,3.3,8.314285714,44744704,5.219047619,187803940.6,49,49.2952381,48.61904762,828691797.3,8126898176
60,2000,0.05,154.3,3.2,8.043161905,44744704,5.094285714,188015567.2,50.04761905,50.42857143,49.6,828928195,8126898176
63,2000,0.05,154.3,3.2,8.166666667,44744704,5.200952381,188048335.2,51.71428571,48,55.33333333,829377779.8,8126898176
66,2000,0.05,154.3,3.3,8.233333333,44744704,5.120952381,188000938.7,52.9047619,50.76190476,55,828970910.5,8126898176
69,2000,0.05,154.3,3.6,8.5,44744704,5.328571429,188735097.9,54.62380952,54.65714286,54.44761905,828967204.6,8126898176
0,1333,0.075,108.2,2.5,5.852631579,44744704,3.689473684,189759919.2,17.78947368,18.94736842,16.73684211,829324234.1,8126898176
3,1333,0.075,108.2,2.6,5.7315,44744704,3.676,190616371.2,19.11,20.6,17.76,829303193.6,8126898176
6,1333,0.075,108.2,2.7,6.02,44744704,3.789,190366720,21.1,20.795,21.425,829415014.4,8126898176
9,1333,0.075,108.2,2.6,5.82,44744704,3.67,191219302.4,21.815,21.62,21.9,829246464,8126898176
12,1333,0.075,108.2,2.6,5.7585,44744704,3.645,192106086.4,23.395,24.33,22.2,829251993.6,8126898176
15,1333,0.075,108.2,2.7,5.7725,44744704,3.638,193540915.2,24.85,25.2,24.4,829186662.4,8126898176
18,1333,0.075,108.2,2.8,5.975,44744704,3.72,194883584,26.7,28.05,25.25,829204889.6,8126898176
21,1333,0.075,108.2,2.8,5.91,44744704,3.87,196232396.8,28,27.85,27.95,829152051.2,8126898176
24,1333,0.075,108.2,2.8,5.613809524,44744704,3.693809524,197913453.7,28.28571429,27.13333333,29.4952381,829314584.4,8126898176
27,1333,0.075,108.2,2.8,6.0345,44744704,3.825,197918720,31.1,30.35,32.05,829186252.8,8126898176
30,1333,0.075,108.2,2.7,5.89,44744704,3.745,198225305.6,32.05,32.5,31.65,829084262.4,8126898176
33,1333,0.075,108.2,2.7,5.482857143,44744704,3.461904762,198282483.8,31.66666667,30.91428571,32.71428571,829235395,8126898176
36,1333,0.075,108.2,2.7,5.547619048,44744704,3.522857143,198464658.3,33.23809524,35.42857143,31.18095238,829186438.1,8126898176
39,1333,0.075,108.2,2.9,5.955,44744704,3.816,198794035.2,36.65,38.3,35.2,829023232,8126898176
42,1333,0.075,108.2,2.9,5.682380952,44744704,3.76047619,199385088,36.68571429,34.99047619,38.23809524,829309318.1,8126898176
45,1333,0.075,108.2,3,5.860952381,44744704,3.812857143,200267093.3,38.19047619,41.2952381,35.0952381,829209063.6,8126898176
48,1333,0.075,108.2,3,5.838095238,44744704,3.73952381,200616228.6,39.30952381,38.19047619,40.72857143,829039957.3,8126898176
51,1333,0.075,108.2,3,6.115,44744704,3.925,200384307.2,42.45,42.5,42.3,835517235.2,8126898176
54,1333,0.075,108.2,3.2,6.074761905,44744704,3.784761905,200327558.1,42.52380952,43.04761905,41.95238095,831529740.2,8126898176
57,1333,0.075,108.2,3.2,5.995714286,44744704,3.788571429,200475599.2,43.85714286,43,44.59047619,830381104.8,8126898176
60,1333,0.075,108.2,3.1,6.16,44744704,3.9195,200019558.4,49.65,46.4,52.9,829915750.4,8126898176
63,1333,0.075,108.2,3.1,5.79,44744704,3.853333333,199499776,46.61428571,44.95238095,48.04761905,829731401.1,8126898176
66,1333,0.075,108.2,3.2,5.880952381,44744704,3.912857143,198588123.4,47.9047619,46.33333333,49.47619048,829454823.6,8126898176
69,1333,0.075,108.2,3.1,5.833333333,44744704,3.863809524,198777904.8,49,51.95238095,46.13333333,829482910.5,8126898176
72,1333,0.075,108.2,3.6,6.155,44744704,4.075,198647808,62.1,60.05,63.85,829450649.6,8126898176
0,2000,0.05,154.3,2.6,8.095,44744704,4.9,198553804.8,23.15,24.6,21.65,829316096,8126898176
3,2000,0.05,154.3,2.8,8.141904762,44744704,4.902857143,198763861.3,24.33333333,25.57142857,23.05714286,829339160.4,8126898176
6,2000,0.05,154.3,2.6,7.928571429,44744704,4.866666667,198909952,25.23809524,25.57142857,25.0952381,829426346.7,8126898176
9,2000,0.05,154.3,2.6,7.94,44744704,4.975,199189504,27.25,26.85,27.75,829406617.6,8126898176
12,2000,0.05,154.3,2.8,7.96952381,44744704,5.009047619,199695798.9,28.4,28.32380952,28.80952381,829464381,8126898176
15,2000,0.05,154.3,2.8,8.013333333,44744704,5.019047619,201161191.6,29.80952381,31.28571429,28.38095238,829533817.9,8126898176
18,2000,0.05,154.3,2.9,8.133333333,44744704,5.00952381,202191823.2,31.23809524,31.04761905,31.33333333,829259385.9,8126898176
21,2000,0.05,154.3,3,8.39,44744704,5.235,202832896,33.8,32.8,34.8,829308313.6,8126898176
24,2000,0.05,154.3,2.9,8.11952381,44744704,5.007142857,203475821.7,33.85714286,34.5047619,33.0952381,829542009.9,8126898176
27,2000,0.05,154.3,2.9,8.156666667,44744704,5.036666667,204262253.7,35.38095238,36.71428571,33.9047619,829502805.3,8126898176
30,2000,0.05,154.3,3.1,8.395238095,44744704,5.104761905,204802145.5,36.95238095,36.52380952,37.47619048,829474133.3,8126898176
33,2000,0.05,154.3,3.2,8.675,44744704,5.16,205017292.8,39.75,38.45,40.9,829424844.8,8126898176
36,2000,0.05,154.3,3.2,8.332857143,44744704,5.115714286,205578045,39.61904762,40.04761905,39.47619048,829653382.1,8126898176
39,2000,0.05,154.3,3.1,8.285714286,44744704,5.150952381,207334058.7,41.04761905,39.33333333,42.66666667,829416204.2,8126898176
42,2000,0.05,154.3,3.3,8.228571429,44744704,5.214285714,208257999.2,42.21904762,43.06666667,41.28571429,829402550.9,8126898176
45,2000,0.05,154.3,3.5,8.866952381,44744704,4.962857143,208662333,43.86190476,43.81904762,43.9047619,829505731,8126898176
