Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
7.4,44744704,44744704,4.9,80912384,80912384,0,45416448,20,24,17,828960768,828960768,828960768,8126898176,8126898176,8126898176
6.8,44744704,44744704,4.5,80879616,80879616,0,45416448,20,21,19,828960768,828960768,828960768,8126898176,8126898176,8126898176
5.6,44744704,44744704,2.9,80793600,80793600,0,45416448,11,11,11,828956672,828956672,828956672,8126898176,8126898176,8126898176
1.8,44744704,44744704,1.2,80793600,80793600,0,45416448,4.1,4.2,4,828952576,828952576,828952576,8126898176,8126898176,8126898176
0.075,44744704,44744704,0.25,80793600,80793600,0,45416448,3.1,2.8,3.4,829210624,829210624,829210624,8126898176,8126898176,8126898176
0.0075,44744704,44744704,0.23,80793600,80793600,0,45416448,3.8,4.2,3.4,828694528,828694528,828694528,8126898176,8126898176,8126898176
0.0068,44744704,44744704,0.22,80793600,80793600,0,45416448,3,2.6,3.4,828952576,828952576,828952576,8126898176,8126898176,8126898176
0.0072,44744704,44744704,0.2,80793600,80793600,0.049,42565632,3.7,4.2,3.2,828952576,828952576,828952576,8126898176,8126898176,8126898176
0.0076,44744704,44744704,0.19,80793600,80793600,0.049,42565632,2.9,2.4,3.4,829210624,829210624,829210624,8126898176,8126898176,8126898176
1.3,44744704,44744704,1.1,80842752,80842752,0,42565632,13,16,11,829243392,829243392,829243392,8126898176,8126898176,8126898176
4.5,44744704,44744704,2.1,81027072,81027072,3.1,48504832,17,18,16,828985344,828985344,828985344,8126898176,8126898176,8126898176
5.6,44744704,44744704,3.1,80994304,80994304,5.6,48504832,21,24,18,828985344,828985344,828985344,8126898176,8126898176,8126898176
5.8,44744704,44744704,3.7,80953344,80953344,4.6,48504832,20,23,17,829243392,829243392,829243392,8126898176,8126898176,8126898176
7.1,44744704,44744704,3.5,81039360,81039360,2.1,48504832,20,19,20,829501440,829501440,829501440,8126898176,8126898176,8126898176
7.7,44744704,44744704,3.8,81018880,81018880,0,48504832,22,24,19,828985344,828985344,828985344,8126898176,8126898176,8126898176
6.7,44744704,44744704,3.8,80977920,80977920,3.1,48504832,17,18,16,828727296,828727296,828727296,8126898176,8126898176,8126898176
5.5,44744704,44744704,3.7,81039360,81039360,3.1,48504832,20,20,19,828985344,828985344,828985344,8126898176,8126898176,8126898176
