Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Probe App CPU Usage,Probe App Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
3.9,44711936,44711936,2.1,79437824,79437824,0,45682688,11,12,11,829014016,829014016,829014016,8126898176,8126898176,8126898176
3.5,44711936,44711936,2.1,79474688,79474688,0,45682688,12,13,11,829272064,829272064,829272064,8126898176,8126898176,8126898176
3.1,44711936,44711936,1.8,79745024,79745024,0,45682688,11,11,10,829014016,829014016,829014016,8126898176,8126898176,8126898176
3.8,44711936,44711936,1.9,79556608,79556608,0.14,48738304,11,12,11,828755968,828755968,828755968,8126898176,8126898176,8126898176
3.7,44711936,44711936,1.9,79323136,79323136,0.14,48738304,10,11,10,828755968,828755968,828755968,8126898176,8126898176,8126898176
3,44711936,44711936,1.6,79474688,79474688,0,48738304,10,9.4,11,829046784,829046784,829046784,8126898176,8126898176,8126898176
2.9,44711936,44711936,1.8,79589376,79589376,0,48738304,10,11,9.2,829562880,829562880,829562880,8126898176,8126898176,8126898176
3.4,44711936,44711936,2,79622144,79622144,0,48738304,11,12,9.8,830078976,830078976,830078976,8126898176,8126898176,8126898176
3.1,44711936,44711936,1.8,79622144,79622144,0,48738304,10,11,8.8,828788736,828788736,828788736,8126898176,8126898176,8126898176
2.4,44711936,44711936,1.5,79773696,79773696,0,48738304,9,8.8,9.2,829046784,829046784,829046784,8126898176,8126898176,8126898176
1.8,44711936,44711936,1,79757312,79757312,0,48738304,5.7,5.6,5.8,828788736,828788736,828788736,8126898176,8126898176,8126898176
0.7,44711936,44711936,0.54,79659008,79659008,0,48738304,4,3.6,4.4,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.0069,44711936,44711936,0.24,79757312,79757312,0.068,45289472,3.1,3.4,2.8,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.003,44711936,44711936,0.25,79659008,79659008,0.068,45289472,4.1,4,4.2,828788736,828788736,828788736,8126898176,8126898176,8126898176
0.0078,44711936,44711936,0.23,79757312,79757312,0,45289472,3.2,3,3.4,829304832,829304832,829304832,8126898176,8126898176,8126898176
0.0078,44711936,44711936,0.22,79659008,79659008,0,45289472,3.7,3,4.4,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.003,44711936,44711936,0.23,79659008,79659008,0,45289472,3,3,3,829014016,829014016,829014016,8126898176,8126898176,8126898176
0.94,44711936,44711936,0.76,79679488,79679488,0,45289472,12,14,9.4,829014016,829014016,829014016,8126898176,8126898176,8126898176
2.9,44711936,44711936,1.5,79585280,79585280,0,45289472,10,10,11,829272064,829272064,829272064,8126898176,8126898176,8126898176
2.8,44711936,44711936,1.5,79740928,79740928,0,45289472,13,14,13,829272064,829272064,829272064,8126898176,8126898176,8126898176
