Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
11,42151936,3.7,82751488,11,11,12,710832128,8346394624,4.7,4.2,5.2,742215680,8126898176
11,42897408,3.8,82685952,10,11,9.8,711426048,8346394624,5.3,5.2,5.4,741613568,8126898176
11,43372544,4,82726912,11,11,11,712060928,8346394624,4.5,4.6,4.4,741814272,8126898176
11,44134400,3.8,82808832,11,11,11,712654848,8346394624,6,6,6,742035456,8126898176
13,45031424,4.2,82751488,13,14,12,714502144,8346394624,5.1,4.8,5.4,741404672,8126898176
14,45395968,4.4,82710528,11,12,11,714297344,8346394624,6,6,6,741814272,8126898176
9.2,45395968,4.3,82755584,12,11,12,714616832,8346394624,4.6,4.6,4.6,741756928,8126898176
4,45416448,3.7,82751488,6.6,6.6,6.6,714801152,8346394624,4.2,4.8,3.6,741699584,8126898176
0.88,45416448,1.7,82698240,3.2,3.8,2.6,714473472,8346394624,2,1.8,2.2,742731776,8126898176
0.011,45416448,0.27,82595840,2.2,2,2.4,714473472,8346394624,2.2,2.6,1.8,741695488,8126898176
0.011,45416448,0.24,82702336,3,3,3,714772480,8346394624,1.8,2.2,1.4,741437440,8126898176
0.012,45416448,0.24,82595840,2.3,2.4,2.2,714522624,8346394624,2.3,2.4,2.2,741437440,8126898176
0.013,45416448,0.24,82595840,3.3,3,3.6,714530816,8346394624,1.9,2.4,1.4,741404672,8126898176
1.8,45416448,0.26,82595840,2.3,1.8,2.8,714539008,8346394624,2.7,2.4,3,741916672,8126898176
7.6,45514752,0.89,82833408,7.1,8,6.2,714199040,8346394624,4,4,4,742379520,8126898176
13,44797952,3,82890752,13,12,14,715530240,8346394624,6.1,6.2,6,741797888,8126898176
16,43192320,4.9,82956288,15,15,15,714792960,8346394624,5.9,5.8,6,742182912,8126898176
17,43180032,6.2,82980864,15,17,13,712470528,8346394624,6.2,5.4,7,741863424,8126898176
14,43208704,5.8,83329024,14,14,14,713252864,8346394624,5.8,5.8,5.8,742256640,8126898176
14,43261952,4.8,82923520,13,14,12,712523776,8346394624,5.7,6,5.4,742137856,8126898176
15,43286528,5.4,83197952,14,14,14,712974336,8346394624,6.5,6,7,742031360,8126898176
13,43315200,5.6,83111936,14,15,13,713261056,8346394624,5.6,5.4,5.8,742219776,8126898176
13,43470848,5.2,83255296,14,13,15,712749056,8346394624,5.6,5.4,5.8,742100992,8126898176
18,44339200,5.4,83427328,13,14,13,713809920,8346394624,6.3,5.8,6.8,742514688,8126898176
19,45301760,5.6,83492864,16,16,16,714338304,8346394624,6.7,7.4,6,742662144,8126898176
17,46157824,6.1,83537920,16,16,15,715337728,8346394624,6.5,6.4,6.6,742805504,8126898176
15,46260224,5.7,83832832,16,16,15,716615680,8346394624,6.7,6.6,6.8,742707200,8126898176
12,46411776,5.1,83873792,12,12,12,716423168,8346394624,5.2,5.4,5,743137280,8126898176
12,46747648,5.3,84238336,12,13,12,716566528,8346394624,5.8,6.2,5.4,743088128,8126898176
12,46911488,5.1,84254720,12,12,13,717586432,8346394624,5.7,5.4,6,743505920,8126898176
14,47210496,5.3,84578304,13,13,12,716849152,8346394624,5.9,5.8,6,743202816,8126898176
16,47587328,5.2,84819968,13,14,13,717332480,8346394624,6.1,6.2,6,744222720,8126898176
12,47788032,5.2,85073920,14,15,13,717807616,8346394624,5.9,5.8,6,743636992,8126898176
8.9,48074752,5.2,85000192,10,10,10,717864960,8346394624,4.8,4.2,5.4,744075264,8126898176
3.8,47992832,3.5,85245952,5.9,6.4,5.4,718077952,8346394624,2.9,3.2,2.6,743809024,8126898176
0.058,47992832,1.1,85090304,2.6,2.6,2.6,718082048,8346394624,1.8,1.8,1.8,744095744,8126898176
0.011,47992832,0.24,85184512,3,2.8,3.2,717848576,8346394624,2.4,2.4,2.4,743837696,8126898176
0.014,47992832,0.28,85114880,2.3,2.4,2.2,718106624,8346394624,1.9,1.8,2,744062976,8126898176
0.013,47992832,0.26,85204992,3.1,3,3.2,717848576,8346394624,2.2,1.8,2.6,743804928,8126898176
0.011,47992832,0.24,85114880,2.4,2.2,2.6,717848576,8346394624,2.1,1.8,2.4,744062976,8126898176
1.5,47992832,0.27,85204992,3.4,3.8,3,717856768,8346394624,2.7,2.8,2.6,744054784,8126898176
7,47800320,0.99,85258240,6.7,7,6.4,717484032,8346394624,4.6,4.2,5,744542208,8126898176
10,47824896,3.1,85237760,10,10,11,717856768,8346394624,5,5,5,744460288,8126898176
9.9,47804416,3.9,85528576,10,12,9.2,717705216,8346394624,5.3,5.4,5.2,744370176,8126898176
11,47824896,3.9,85729280,11,11,11,717893632,8346394624,5.2,4.6,5.8,744288256,8126898176
12,42262528,4.2,85565440,11,11,11,717996032,8346394624,5.2,5.2,5.2,744497152,8126898176
11,42262528,4,85811200,12,11,13,713424896,8346394624,4.5,4.6,4.4,744927232,8126898176
9.8,42262528,4.1,85614592,9.7,10,9.4,712409088,8346394624,5.2,5,5.4,744615936,8126898176
9.6,42463232,3.7,85766144,10,10,11,712531968,8346394624,4.4,4.6,4.2,744300544,8126898176
9,42340352,3.3,85946368,9.7,9,10,712626176,8346394624,5,5,5,744747008,8126898176
10,42352640,4,85950464,10,11,9.6,712491008,8346394624,4.8,4.4,5.2,744714240,8126898176
