NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
500,0.2,39.5,2.1,4.957894737,1.910526316,6.394736842,6.378947368,6.410526316,3.647368421,3.778947368,3.515789474,120797076.2,45343366.74,715218512.8,8346394624,715218512.8,8126898176
1000,0.1,77.9,2,8.145,3.06,8.785,9.24,8.32,4.44,4.28,4.6,121692569.6,43940659.2,713641574.4,8346394624,713641574.4,8126898176
500,0.2,39.5,2,4.13,1.852,5.96,6.2,5.72,3.625,3.55,3.7,122508492.8,45397196.8,714802380.8,8346394624,714802380.8,8126898176
1000,0.1,77.9,1.9,7.62,3.07,8.61,8.8,8.42,4.405,4.27,4.54,122756710.4,43489894.4,713027379.2,8346394624,713027379.2,8126898176
500,0.2,39.5,2,4.455,1.83,6.15,6.2,6.1,3.53,3.5,3.56,122947174.4,44631449.6,714070425.6,8346394624,714070425.6,8126898176
1000,0.1,77.9,2,8.180952381,2.992857143,8.761904762,9.2,8.361904762,4.4,4.485714286,4.314285714,123373860.6,43067879.62,713123742.5,8346394624,713123742.5,8126898176
500,0.2,39.5,2,4.157894737,1.913684211,6.026315789,5.884210526,6.168421053,3.636842105,3.673684211,3.6,124210337.7,45148914.53,714617047.6,8346394624,714617047.6,8126898176
1000,0.1,77.9,1.9,7.180952381,3.044761905,8.319047619,8.666666667,7.942857143,4.366666667,4.304761905,4.428571429,125711896.4,43700224,713589906.3,8346394624,713589906.3,8126898176
500,0.2,39.5,2,4.168421053,1.936842105,6.036842105,6.157894737,5.915789474,3.647368421,3.652631579,3.642105263,127062016,45558298.95,715141120,8346394624,715141120,8126898176
1000,0.1,77.9,1.9,7.545,3.054,8.48,8.81,8.15,4.515,4.47,4.56,127644467.2,44109209.6,713798246.4,8346394624,713798246.4,8126898176
500,0.2,39.5,2,4.536842105,1.947368421,6.1,6.336842105,5.863157895,3.710526316,3.6,3.821052632,128050014.3,45332803.37,714734753.7,8346394624,714734753.7,8126898176
1000,0.1,77.9,2,8.785,3.13,9.205,9.25,9.17,4.565,4.44,4.69,128872243.2,43439923.2,713150259.2,8346394624,713150259.2,8126898176
500,0.2,39.5,2,4.215,1.929,5.93,6.17,5.69,3.615,3.61,3.62,129652121.6,46115430.4,715189452.8,8346394624,715189452.8,8126898176
1000,0.1,77.9,2,7.904761905,2.96952381,8.633333333,9.019047619,8.276190476,4.423809524,4.39047619,4.457142857,129801264.8,43643855.24,713019197,8346394624,713019197,8126898176
