"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","VM 1 Avg Host CPU Usage","VM 1 Host CPU 0 Usage","VM 1 Host CPU 1 Usage","VM 1 Host Mem Usage","VM 1 Host Mem Total","VM 2 Avg Host CPU Usage","VM 2 Host CPU 0 Usage","VM 2 Host CPU 1 Usage","VM 2 Host Mem Usage","VM 2 Host Mem Total"
2022-01-22 21:23:30,0.0046,54431744,0.24,220516352,4.2,4.0,4.4,825151488,8346394624,2.8,3.0,2.6,972419072,8126898176
2022-01-22 21:23:35,0.0099,54431744,0.21,220401664,3.6,3.2,4.0,824930304,8346394624,2.0,2.2,1.8,971386880,8126898176
2022-01-22 21:23:40,0.0099,54431744,0.21,220401664,4.4,4.0,4.8,825409536,8346394624,2.8,2.6,3.0,970870784,8126898176
2022-01-22 21:23:45,0.011,54431744,0.23,220401664,5.2,5.4,5,825155584,8346394624,2.1,1.8,2.4,971128832,8126898176
2022-01-22 21:23:50,0.017,54431744,0.24,220516352,4.4,4.2,4.6,824938496,8346394624,2.6,2.2,3.0,970838016,8126898176
2022-01-22 21:23:55,0.011,54431744,0.24,220377088,3.6,4.4,2.8,824938496,8346394624,2.5,2.2,2.8,971096064,8126898176
2022-01-22 21:24:00,0.0097,54431744,0.23,220377088,4.3,4.0,4.6,824938496,8346394624,2.8,3.0,2.6,971096064,8126898176
2022-01-22 21:24:05,0.0096,54431744,0.22,220377088,3.4,2.6,4.2,825454592,8346394624,2.2,1.8,2.6,971096064,8126898176
2022-01-22 21:24:10,0.0096,54431744,0.22,220381184,4.3,5.4,3.2,824664064,8346394624,3.0,2.8,3.2,971091968,8126898176
2022-01-22 21:24:15,0.0096,54431744,0.23,220381184,5.3,4.6,6.0,824659968,8346394624,2.0,2.0,2.0,971091968,8126898176
2022-01-22 21:24:20,0.010,54431744,0.24,220491776,4.1,4.6,3.6,824918016,8346394624,2.9,2.6,3.2,971091968,8126898176
2022-01-22 21:24:25,0.011,54431744,0.22,220381184,4.3,4.8,3.8,824918016,8346394624,2.2,2.0,2.4,971091968,8126898176
2022-01-22 21:24:30,0.0094,54431744,0.24,220381184,3.9,4.6,3.2,824918016,8346394624,2.8,2.6,3.0,971350016,8126898176
2022-01-22 21:24:35,0.0046,54431744,0.26,220381184,3.4,4.0,2.8,824918016,8346394624,2.1,2.2,2.0,972124160,8126898176
2022-01-22 21:24:40,0.010,54431744,0.22,220352512,4.3,3.4,5.2,824934400,8346394624,3.2,3.0,3.4,970833920,8126898176
2022-01-22 21:24:45,0.016,54431744,0.22,220352512,5.8,4.8,6.8,824954880,8346394624,2.1,2.0,2.2,971091968,8126898176
2022-01-22 21:24:50,0.011,54431744,0.25,220463104,4.4,4.0,4.8,824672256,8346394624,2.8,2.8,2.8,971091968,8126898176
2022-01-22 21:24:55,0.0099,54431744,0.26,220352512,3.5,3.4,3.6,824930304,8346394624,2.4,2.4,2.4,970833920,8126898176
2022-01-22 21:25:00,0.0094,54431744,0.26,220463104,4.4,4.8,4.0,824672256,8346394624,3.1,3.4,2.8,970833920,8126898176
2022-01-22 21:25:05,0.0095,54431744,0.22,220352512,3.4,3.2,3.6,824979456,8346394624,2.4,2.2,2.6,970833920,8126898176
2022-01-22 21:25:10,0.0098,54431744,0.23,220352512,4.3,4.0,4.6,824979456,8346394624,2.8,2.8,2.8,970833920,8126898176
2022-01-22 21:25:15,0.011,54431744,0.26,220352512,5.4,4.2,6.6,825212928,8346394624,2.4,2.2,2.6,970833920,8126898176
2022-01-22 21:25:20,0.011,54431744,0.24,220463104,4.4,4.4,4.4,825212928,8346394624,2.7,2.8,2.6,971091968,8126898176
2022-01-22 21:25:25,0.0098,54431744,0.23,220352512,3.9,3.2,4.6,825163776,8346394624,2.2,2.0,2.4,970833920,8126898176
2022-01-22 21:25:30,0.0095,54431744,0.23,220430336,3.8,4.2,3.4,825180160,8346394624,2.8,2.6,3.0,970833920,8126898176
2022-01-22 21:25:35,0.0097,54431744,0.24,220319744,4.1,4.0,4.2,825180160,8346394624,2.2,1.8,2.6,970833920,8126898176
2022-01-22 21:25:40,0.0097,54431744,0.23,220319744,4.0,4.6,3.4,825180160,8346394624,3.1,3.2,3.0,970575872,8126898176
2022-01-22 21:25:45,0.0098,54431744,0.25,220319744,5.4,4.2,6.6,825176064,8346394624,2.1,2.2,2.0,970833920,8126898176
2022-01-22 21:25:50,0.011,54431744,0.24,220430336,4.4,4.6,4.2,824709120,8346394624,2.7,2.2,3.2,971091968,8126898176
2022-01-22 21:25:55,0.011,54431744,0.22,220319744,3.5,3.0,4.0,824774656,8346394624,2.3,2.0,2.6,970833920,8126898176
2022-01-22 21:26:00,0.0047,54431744,0.21,220430336,4.2,4.6,3.8,826339328,8346394624,3.1,3.0,3.2,971608064,8126898176
2022-01-22 21:26:05,0.0100,54431744,0.25,220319744,3.9,4.6,3.2,826339328,8346394624,2.4,2.6,2.2,970833920,8126898176
2022-01-22 21:26:10,0.015,54431744,0.28,220319744,6.2,7.0,5.4,826032128,8346394624,3.0,2.8,3.2,970833920,8126898176
2022-01-22 21:26:15,0.012,54431744,0.24,220319744,5.5,5.4,5.6,827281408,8346394624,2.2,2.2,2.2,970833920,8126898176
2022-01-22 21:26:20,0.011,54431744,0.24,220430336,4.1,4.0,4.2,826249216,8346394624,2.8,3.2,2.4,970833920,8126898176
2022-01-22 21:26:25,0.0096,54431744,0.26,220418048,3.7,3.8,3.6,825782272,8346394624,2.4,2.2,2.6,970608640,8126898176
2022-01-22 21:26:30,0.0095,54431744,0.24,220315648,4.0,3.0,5,826298368,8346394624,2.8,2.4,3.2,970866688,8126898176
