Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,VM 2 Host Mem Usage,VM 2 Host Mem Total
5,40615936,1.9,82698240,11,11,11,812412928,8346394624,7.5,7.4,7.6,825679872,8126898176
4.5,40624128,2.2,82653184,11,11,11,817000448,8346394624,8,7.8,8.2,826527744,8126898176
3.4,40808448,2.1,82800640,11,9.6,11,816766976,8346394624,7.5,7.6,7.4,826798080,8126898176
1.6,40812544,1.5,82685952,6.7,5.2,8.2,817119232,8346394624,6.1,6,6.2,826695680,8126898176
0.28,40685568,0.71,82558976,4.5,4.8,4.2,817127424,8346394624,2.7,3,2.4,826691584,8126898176
0.0067,40685568,0.29,82653184,4.1,3.6,4.6,816869376,8346394624,2.2,2,2.4,826691584,8126898176
0.01,40685568,0.28,82558976,4.3,4.8,3.8,816869376,8346394624,2.8,2.6,3,826433536,8126898176
0.015,40685568,0.24,82653184,5.3,4.2,6.4,817102848,8346394624,2.4,2.2,2.6,826691584,8126898176
0.0047,40685568,0.25,82558976,4.4,5,3.8,817344512,8346394624,2.6,2.2,3,826433536,8126898176
0.36,40828928,0.26,82653184,3.3,3.8,2.8,817352704,8346394624,2.6,2.4,2.8,826433536,8126898176
2.3,40935424,0.56,82690048,5.8,5.4,6.2,817582080,8346394624,3.8,3.4,4.2,826667008,8126898176
4.9,40943616,1.3,82751488,10,11,9.2,812134400,8346394624,9.3,9.8,8.8,827711488,8126898176
4.5,40943616,1.8,82771968,11,12,9.4,812126208,8346394624,11,12,11,827879424,8126898176
3.6,40951808,1.7,83038208,12,13,12,812847104,8346394624,11,11,10,829194240,8126898176
4.6,41029632,1.8,83091456,12,11,12,812937216,8346394624,12,12,12,830144512,8126898176
4.8,41336832,1.8,83001344,11,11,12,813817856,8346394624,12,12,11,830619648,8126898176
4.2,41422848,1.9,83152896,10,9.2,11,813797376,8346394624,12,13,12,830189568,8126898176
5,41689088,1.8,83054592,12,10,14,813420544,8346394624,12,12,11,830369792,8126898176
5.7,41713664,1.8,83079168,12,12,13,813592576,8346394624,10,10,11,830275584,8126898176
5.2,41603072,1.8,83034112,12,12,13,814047232,8346394624,11,11,11,830763008,8126898176
4.3,41631744,2,83062784,12,14,11,813846528,8346394624,11,11,12,831119360,8126898176
4.3,41754624,1.9,83218432,12,12,12,814055424,8346394624,9.5,9.2,9.8,831549440,8126898176
4.9,41873408,1.8,83251200,11,12,9,814026752,8346394624,13,13,13,831664128,8126898176
4.6,42045440,2,83283968,11,11,12,815439872,8346394624,11,11,11,832106496,8126898176
3.6,42000384,1.7,83300352,11,11,11,816631808,8346394624,9.3,9,9.6,832557056,8126898176
4.2,42229760,1.8,83324928,12,12,11,818470912,8346394624,12,12,12,833368064,8126898176
5.1,42237952,2.2,83353600,12,13,10,818036736,8346394624,11,11,11,834330624,8126898176
3.9,42311680,2.1,83378176,12,11,12,818765824,8346394624,8.8,8.6,9,833728512,8126898176
3.6,42377216,1.8,83267584,9.1,8.8,9.4,819281920,8346394624,13,13,13,834379776,8126898176
4.2,42549248,1.8,83398656,12,13,10,819671040,8346394624,10,10,10,834301952,8126898176
4,42590208,1.7,83546112,11,10,12,821112832,8346394624,9.8,9.6,10,834486272,8126898176
4.4,42770432,1.6,83435520,13,13,13,819875840,8346394624,12,12,12,834633728,8126898176
4.6,42782720,1.8,83460096,11,11,11,820699136,8346394624,11,11,11,835330048,8126898176
4.8,42672128,1.9,83644416,12,12,11,819998720,8346394624,9.1,9,9.2,835252224,8126898176
4.9,42676224,1.8,83533824,10,10,10,820297728,8346394624,12,12,12,835653632,8126898176
4.3,42680320,2,83640320,12,12,11,820375552,8346394624,11,11,11,836063232,8126898176
4.2,42684416,2.2,83537920,11,9.6,13,820723712,8346394624,9.3,8.8,9.8,835985408,8126898176
4.3,42688512,1.7,83828736,12,12,13,820916224,8346394624,12,12,12,836558848,8126898176
3.7,42692608,1.7,83759104,10,9.6,11,820908032,8346394624,11,11,11,836997120,8126898176
1.9,42692608,1.8,83906560,10,8.8,12,822149120,8346394624,8.5,8.4,8.6,836329472,8126898176
0.47,42692608,0.94,83779584,3.9,3.8,4,822145024,8346394624,2.7,3.2,2.2,836567040,8126898176
0.012,42692608,0.32,83877888,4.3,3.8,4.8,820871168,8346394624,2.3,2,2.6,836567040,8126898176
0.012,42692608,0.27,83779584,3.5,3.8,3.2,820613120,8346394624,2.7,2.2,3.2,836308992,8126898176
0.0096,42692608,0.23,83779584,6,6.4,5.6,820862976,8346394624,2.5,2.2,2.8,836308992,8126898176
0.0096,42692608,0.24,83779584,3.9,3.4,4.4,821161984,8346394624,2.8,2.4,3.2,836050944,8126898176
0.39,42692608,0.27,83877888,4.4,4.2,4.6,821178368,8346394624,2.2,2.6,1.8,835792896,8126898176
2.5,42700800,0.5,83910656,4.7,4.2,5.2,820899840,8346394624,3.5,3.8,3.2,835784704,8126898176
4.8,43249664,1.3,83943424,12,14,10,816369664,8346394624,12,12,11,836820992,8126898176
4.3,43380736,1.8,83832832,19,19,19,814878720,8346394624,12,12,12,836349952,8126898176
4.2,43266048,1.9,84090880,15,15,16,815104000,8346394624,14,14,14,837115904,8126898176
4.5,43266048,2,84131840,15,15,14,815190016,8346394624,17,17,17,838295552,8126898176
4.4,43401216,2.2,83894272,17,19,16,815734784,8346394624,12,12,13,839467008,8126898176
4.2,43278336,2.1,83787776,13,14,12,815632384,8346394624,14,14,14,839610368,8126898176
4,43294720,1.8,83935232,14,17,12,815276032,8346394624,16,17,16,840998912,8126898176
