NumOfRequests, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage
2000,2,9.888709677,4.074193548,21.00967742,21.48387097,20.47096774,21.37096774,21.50322581,21.33548387
2000,2.2,11.26774194,3.994516129,23.91612903,23.76774194,23.86451613,24.31935484,24.38709677,24.21935484
3000,2,14.6003125,5.06375,17.878125,17.95,17.775,9.45625,9.5625,9.4125
3000,2,13.8516129,5.290645161,18.84516129,19.09677419,18.65806452,12.7516129,12.71612903,12.69032258
3000,2,13.79375,5.3528125,21.9875,22.0375,21.90625,18.325,18.4625,18.09375
3000,2.1,14.10654688,5.3328125,24.7875,25.20625,24.4,21.465625,21.35625,21.48125
3000,2.1,14.72580645,5.583870968,26.68064516,26.71612903,26.77419355,25.33870968,25.38709677,25.12903226
6000,2.1,25.06106061,8.893030303,25.74545455,26.50909091,25.1030303,11.57272727,11.58181818,11.59393939
6000,2.2,26.309375,9.3078125,28.14375,28.89375,27.33125,14.8125,14.81875,14.93125
6000,2.3,25.63975758,9.229393939,29.23333333,29.58181818,28.85454545,17.58484848,17.53939394,17.66060606
8000,2.6,34.86363636,11.70727273,32.22424242,33.08484848,31.45454545,13.06969697,13.21212121,13.13939394
8000,2.6,35.8375,12.378125,34.8125,36,33.55625,16.484375,16.45,16.3625
8000,2.7,34.7700303,11.89818182,35.93030303,37.31515152,34.3030303,19.16060606,19.22424242,18.97575758
6000,2.1,24.59788571,8.532857143,25.32,25.92571429,24.77142857,11.13142857,11.13142857,11.18857143
6000,2.3,27.640625,9.34375,28.6375,29.53125,27.8375,14.903125,14.65,15.25
6000,2.3,27.603125,9.53,30.453125,31.34375,29.59375,17.771875,17.83125,17.7375
8000,2.5,35.21212121,11.60969697,32.67878788,33.67272727,31.65454545,13.33030303,13.2969697,13.39393939
8000,2.9,34.90617647,11.81823529,34.28823529,35.12352941,33.30588235,16.07647059,16.2,15.86470588
8000,2.7,35.934375,12.3528125,36.7625,37.75,35.8375,19.5625,19.85,19.4625
6000,2.1,26.49727273,9.117272727,26.02424242,26.41212121,25.48484848,11.85151515,11.83030303,11.63030303
6000,2.2,27.4516129,9.519354839,29.03225806,29.61290323,28.4516129,15.57741935,15.64516129,15.54193548
6000,2.3,25.81548485,9.287878788,29.35757576,30.25454545,28.36969697,17.80909091,17.69090909,17.95757576
8000,2.6,35.22454545,11.75060606,32.52121212,33.36969697,31.52121212,13.40606061,13.55151515,13.29090909
8000,2.6,35.609375,12.521875,34.871875,35.83125,34.00625,16.975,17.025,16.89375
8000,3.1,36.24181818,12.13333333,36.86666667,38.13333333,35.38787879,19.26060606,19.5030303,19.01818182
6000,2.1,27.196875,9.3321875,26.471875,27.6125,25.46875,11.875,11.95,11.95625
6000,2.3,27.02454545,9.087272727,28.09393939,28.58181818,27.63636364,14.65454545,14.60606061,14.72121212
6000,2.4,26.41270588,9.033529412,29.35588235,29.84117647,28.60588235,16.67647059,16.83529412,16.66470588
8000,2.6,34.04494118,11.36117647,31.62058824,32.59411765,30.64705882,12.72941176,12.84705882,12.72941176
8000,2.7,36.75,12.2653125,35.34375,36.875,33.875,16.85,16.7625,17
8000,2.7,34.69393939,12.30060606,36.07272727,37.37575758,34.86060606,19.69393939,19.66060606,19.60606061
6000,2.2,25.69785294,9.063235294,26.16470588,26.65294118,25.73529412,11.72941176,11.42352941,11.97647059
6000,2.3,27.696875,9.42375,28.6875,29.30625,28.09375,15.09375,14.85,15.4
6000,2.2,26.73125,9.596875,30.065625,30.625,29.50625,18.04375,18.0875,17.925
8000,2.7,33.49777143,11.20314286,31.62857143,32.94285714,30.22857143,12.89142857,12.92571429,12.79428571
8000,2.6,36.12424242,12.00909091,34.66060606,35.65454545,33.78787879,16.23939394,16.34545455,16.25454545
8000,2.7,35.13333333,12.12969697,35.84848485,37.04848485,34.92121212,19.30606061,19.33333333,19.24848485
6000,2.1,26.18527273,8.851515152,26.58484848,27.26666667,25.96363636,11.59090909,11.66060606,11.43030303
6000,2.3,26.5,9.465,28.3,29.0875,27.54375,15.096875,15.1125,15.05
6000,2.4,27.271875,9.62375,30.39375,30.84375,30.225,18.35625,18.41875,18.325
8000,2.6,34.45029412,11.45911765,32.32941176,33.41764706,31.21176471,12.92941176,12.92941176,13.12352941
8000,2.7,35.95625,12.490625,35.309375,36.25,34.1375,17.39375,17.31875,17.46875
8000,3.3,36.659375,12.34375,37.21875,38.1875,36.25,19.7875,19.81875,19.71875
