NumOfRequest,Periods,Throughput,Actual Response Time,Acme Web CPU Usage,MongoDB CPU Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage
2000,0.075,105.2,3.1,10.476603,5.723529,54.955882,56.394118,53.311765
3000,0.05,156.4,2.6,13.578009,7.074857,27.622857,28.045714,27.142857
3000,0.05,156.4,3,14.838063,7.857812,36.41875,37.71875,35.15
3000,0.05,156.4,3.3,14.537147,7.971176,48.638235,49.935294,47.341176
3000,0.05,156.4,3.6,15.794125,8.655312,59.190625,60.55625,57.975
3000,0.05,156.4,4.2,15.88475,8.857188,66.115625,67.45625,64.80625
2000,0.075,105.2,2.4,8.815217,5.042222,22.219444,22.805556,21.605556
2000,0.075,105.2,2.7,10.189545,5.766667,37.533333,38.29697,36.739394
2000,0.075,105.2,2.9,10.512937,6.092813,45.071875,46.45625,43.65625
2000,0.075,105.2,2.9,10.757906,6.17125,53.14375,54.69375,51.625
2000,0.075,105.2,3.1,10.658848,6.158182,56.112121,57.884848,54.30303
3000,0.05,156.4,2.7,13.658457,7.392571,27.922857,28.754286,27.091429
3000,0.05,156.4,2.9,14.051618,7.705,34.726471,35.605882,33.847059
3000,0.05,156.4,3.4,15.151909,8.372727,49.481818,50.733333,48.521212
3000,0.05,156.4,3.6,16.019156,8.716563,58.621875,60.05,57.1
3000,0.05,156.4,4,16.134781,8.818437,64.696875,65.9125,63.41875
2000,0.075,105.2,2.4,8.7935,5.133889,22.391667,23.15,21.688889
2000,0.075,105.2,2.6,10.064424,5.745455,36.933333,38.090909,35.654545
2000,0.075,105.2,2.8,9.878143,5.684571,41.785714,43.051429,40.377143
2000,0.075,105.2,3.1,10.701364,6.091212,52.109091,52.993939,51.042424
2000,0.075,105.2,3.3,10.815545,6.290606,56.672727,58.672727,54.824242
3000,0.05,156.4,2.7,12.98475,7.248333,26.991667,27.527778,26.538889
3000,0.05,156.4,2.8,14.391333,7.878485,34.99697,36.054545,34.060606
3000,0.05,156.4,3.2,14.837121,8.252424,49.6,50.630303,48.587879
3000,0.05,156.4,3.7,14.743382,8.177941,54.720588,56,53.558824
3000,0.05,156.4,4,15.080029,8.497941,61.326471,62.752941,59.841176
2000,0.075,105.2,2.4,9.212971,5.363824,23.123529,23.417647,22.770588
2000,0.075,105.2,2.7,10.375375,6.035938,38.3125,39.46875,37.28125
2000,0.075,105.2,2.8,10.309633,5.870303,43.572727,44.951515,42.012121
2000,0.075,105.2,2.9,10.315909,5.996667,50.418182,52.206061,48.721212
2000,0.075,105.2,3.2,10.4125,6.022647,56.094118,57.670588,54.458824
3000,0.05,156.4,2.7,13.550543,7.350857,27.788571,28.228571,27.405714
3000,0.05,156.4,3.1,14.139,7.876765,34.661765,35.158824,34.164706
3000,0.05,156.4,3.5,14.88797,8.346667,49.206061,50.351515,48.242424
3000,0.05,156.4,4.1,14.844824,8.343824,54.997059,55.970588,53.758824
3000,0.05,156.4,4,14.849543,8.272857,60.034286,61.308571,58.931429
6000,0.025,307.4,7.9,31.344429,15.656857,47.048571,47.365714,46.531429
6000,0.025,307.3,6.4,28.324667,14.510909,50.884848,51.50303,50.266667
6000,0.025,307.3,9.5,28.857818,14.963333,57.860606,58.781818,57.060606
8000,0.01875,408.5,12.8,36.2435,17.578056,51.852778,52.061111,51.505556
8000,0.01875,408.5,19.1,38.473364,19.498485,62.427273,62.309091,62.484848
8000,0.01875,408.5,35.4,37.533118,19.542353,66.988235,67.229412,66.982353
6000,0.025,307.4,5,28.738294,13.728857,42.822857,42.982857,42.508571
6000,0.025,307.3,8.3,28.830788,14.751515,51.248485,51.454545,50.872727
6000,0.025,307.3,11.5,29.501364,15.157273,58.584848,58.787879,58.436364
8000,0.01875,408.5,9.6,35.861946,17.211622,50.602703,50.789189,50.194595
8000,0.01875,408.5,21.3,39.139818,19.991212,62.493939,62.448485,62.781818
8000,0.01875,408.5,43.4,36.8008,19.147143,65.425714,66.171429,64.634286
6000,0.025,307.4,4.9,26.329421,12.599211,39.644737,39.857895,39.457895
6000,0.025,307.3,7.4,27.977294,14.395588,49.629412,49.941176,49.376471
6000,0.025,307.3,11.4,28.618441,14.964412,56.702941,57.552941,55.911765
8000,0.01875,408.5,8.6,34.751444,17.588333,50.236111,51.138889,49.222222
8000,0.01875,408.5,21.8,39.206455,19.880909,61.936364,62.878788,61.115152
8000,0.01875,408,44.1,38.95803,20.371818,68.89697,69.569697,68.163636
6000,0.025,307.4,4.7,26.638297,13.041351,40.745946,41.124324,40.421622
6000,0.025,307.4,6.9,27.303114,14.037143,48.768571,48.691429,48.731429
6000,0.025,307.4,10.9,28.859647,15.012059,57.232353,57.758824,56.735294
8000,0.01875,408.5,8.9,37.554866,18.181143,52.465714,52.622857,52.251429
8000,0.01875,408.5,22.4,37.422441,19.390882,60.05,60.676471,59.394118
8000,0.01875,408.5,47.1,40.485273,20.738485,70.163636,70.290909,69.854545
6000,0.025,307.4,4.8,27.640966,13.973714,42.502857,42.657143,42.377143
6000,0.025,307.4,6.9,29.015606,15.004848,51.706061,51.927273,51.327273
6000,0.025,307.4,10.1,27.290528,14.100833,54.105556,55.005556,53.316667
8000,0.01875,408.5,8.7,38.412735,18.715,53.738235,53.164706,54.252941
8000,0.01875,408.5,22.8,38.242788,19.993939,62.09697,62.036364,62.139394
8000,0.01875,408.4,47.5,38.691529,20.211471,67.270588,66.935294,67.605882
6000,0.025,307.4,4.8,27.814722,13.502222,41.775,42.138889,41.3
6000,0.025,307.4,7.4,29.194364,15.044545,51.39697,52.29697,50.363636
6000,0.025,307.3,10.7,29.552939,15.36303,58.427273,59.612121,57.30303
8000,0.01875,408.5,8.1,37.442059,18.845588,53.155882,53.905882,52.435294
8000,0.01875,408.4,23.9,38.774324,19.661765,61.008824,61.452941,60.711765
8000,0.01875,408.3,47.6,36.838029,19.771429,65.76,66.782857,64.68
