"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-13 11:22:15,0.051,80461824,0.41,87928832,3.6,3.8,3.4,1024339968,8346394624
2022-01-13 11:22:20,1.7,80461824,1.2,87973888,9.3,8.8,9.8,1024344064,8346394624
2022-01-13 11:22:25,12,54071296,6.3,87859200,27,26,28,999133184,8346394624
2022-01-13 11:22:30,30,53424128,12,87883776,56,54,57,993755136,8346394624
2022-01-13 11:22:35,31,53460992,15,87805952,60,64,57,995745792,8346394624
2022-01-13 11:22:40,32,55468032,17,88002560,57,55,59,997109760,8346394624
2022-01-13 11:22:45,35,55574528,17,88203264,53,52,54,998002688,8346394624
2022-01-13 11:22:50,31,56627200,20,88231936,70,71,69,1000198144,8346394624
2022-01-13 11:22:55,34,57307136,19,88780800,56,58,54,1000824832,8346394624
2022-01-13 11:23:00,34,57561088,14,88678400,49,49,49,1001947136,8346394624
2022-01-13 11:23:05,32,58114048,14,88866816,58,59,57,1003020288,8346394624
2022-01-13 11:23:10,27,58265600,16,88711168,56,59,54,1004515328,8346394624
2022-01-13 11:23:15,32,58437632,17,89120768,55,57,52,1005051904,8346394624
2022-01-13 11:23:20,37,58925056,18,89436160,60,60,59,1007349760,8346394624
2022-01-13 11:23:25,31,59031552,15,89423872,55,58,53,1007853568,8346394624
2022-01-13 11:23:30,28,60280832,15,89800704,48,50,46,1009442816,8346394624
2022-01-13 11:23:35,29,60395520,16,89997312,56,57,55,1010319360,8346394624
2022-01-13 11:23:40,30,59334656,16,90316800,55,53,57,1011167232,8346394624
2022-01-13 11:23:45,31,59875328,17,90779648,50,51,50,1011535872,8346394624
2022-01-13 11:23:50,29,59883520,14,90910720,60,62,57,1012830208,8346394624
2022-01-13 11:23:55,30,59883520,15,91320320,54,56,52,1014005760,8346394624
2022-01-13 11:24:00,30,60305408,16,91549696,49,48,51,1015037952,8346394624
2022-01-13 11:24:05,28,60395520,16,91795456,55,55,55,1016049664,8346394624
2022-01-13 11:24:10,30,56803328,15,92090368,58,59,57,1013817344,8346394624
2022-01-13 11:24:15,30,56803328,17,92487680,52,53,50,1012879360,8346394624
2022-01-13 11:24:20,31,56811520,16,92520448,57,55,60,1014534144,8346394624
2022-01-13 11:24:25,35,57610240,16,92782592,57,60,55,1015787520,8346394624
2022-01-13 11:24:30,34,57651200,17,92995584,52,52,51,1017147392,8346394624
2022-01-13 11:24:35,30,57716736,14,93458432,54,54,54,1017913344,8346394624
2022-01-13 11:24:40,32,57729024,15,93532160,60,61,59,1018445824,8346394624
2022-01-13 11:24:45,32,57810944,16,93863936,53,53,52,1018732544,8346394624
2022-01-13 11:24:50,29,59756544,15,94040064,52,56,48,1022283776,8346394624
2022-01-13 11:24:55,17,59891712,11,94113792,30,29,31,1021956096,8346394624
2022-01-13 11:25:00,3.8,59891712,3.8,94334976,4.2,4.8,3.6,1022214144,8346394624
2022-01-13 11:25:05,0.020,59891712,0.56,94416896,3.5,3.2,3.8,1022480384,8346394624
2022-01-13 11:25:10,0.013,59891712,0.38,94351360,4.3,4.4,4.2,1021521920,8346394624
2022-01-13 11:25:15,0.013,59891712,0.39,94433280,3.9,3.6,4.2,1021247488,8346394624
2022-01-13 11:25:20,0.0080,59891712,0.49,94351360,6.0,7.2,4.8,1021812736,8346394624
2022-01-13 11:25:25,0.015,59891712,0.47,94433280,3.7,4.2,3.2,1021321216,8346394624
2022-01-13 11:25:30,0.021,59891712,0.43,94355456,4.2,4.6,3.8,1020817408,8346394624
2022-01-13 11:25:35,0.22,59891712,0.69,94363648,4.8,4.4,5.2,1020796928,8346394624
2022-01-13 11:25:40,8.0,57298944,3.7,94318592,22,23,20,1017929728,8346394624
2022-01-13 11:25:45,25,53944320,12,94724096,61,63,58,1015988224,8346394624
2022-01-13 11:25:50,34,53936128,16,94744576,61,64,59,1016786944,8346394624
2022-01-13 11:25:55,35,55422976,15,95440896,68,71,65,1017954304,8346394624
2022-01-13 11:26:00,28,55435264,19,95338496,70,71,70,1019359232,8346394624
2022-01-13 11:26:05,36,56537088,21,95772672,66,65,67,1020731392,8346394624
2022-01-13 11:26:10,38,56688640,18,95686656,68,68,69,1021992960,8346394624
2022-01-13 11:26:15,28,56926208,16,95727616,62,64,60,1023021056,8346394624
2022-01-13 11:26:20,31,58032128,16,95789056,58,58,58,1024991232,8346394624
2022-01-13 11:26:25,33,58417152,17,95617024,65,67,63,1025409024,8346394624
2022-01-13 11:26:30,33,58376192,16,95670272,68,70,66,1026105344,8346394624
2022-01-13 11:26:35,35,59166720,17,96268288,59,58,61,1028218880,8346394624
2022-01-13 11:26:40,35,59371520,18,96317440,63,65,60,1030885376,8346394624
2022-01-13 11:26:45,30,60895232,15,96583680,66,65,67,1032794112,8346394624
2022-01-13 11:26:50,29,60854272,15,96628736,58,60,57,1033142272,8346394624
2022-01-13 11:26:55,28,60981248,15,97046528,63,64,61,1033506816,8346394624
2022-01-13 11:27:00,32,61968384,17,97157120,65,65,65,1034522624,8346394624
2022-01-13 11:27:05,30,62095360,16,97423360,58,58,59,1034858496,8346394624
2022-01-13 11:27:10,29,57716736,15,97771520,60,58,63,1030955008,8346394624
2022-01-13 11:27:15,32,57724928,15,97804288,65,68,63,1032323072,8346394624
2022-01-13 11:27:20,29,57724928,16,98086912,57,55,59,1034387456,8346394624
2022-01-13 11:27:25,31,57733120,16,98578432,63,63,62,1034584064,8346394624
2022-01-13 11:27:30,33,57741312,16,98869248,68,67,69,1035620352,8346394624
2022-01-13 11:27:35,31,57774080,17,98787328,58,60,56,1036881920,8346394624
2022-01-13 11:27:40,31,59334656,17,99090432,62,62,61,1038495744,8346394624
2022-01-13 11:27:45,32,59383808,17,99708928,67,68,67,1040900096,8346394624
2022-01-13 11:27:50,33,59916288,15,99733504,57,56,58,1046872064,8346394624
2022-01-13 11:27:55,32,60510208,18,100089856,66,68,64,1040871424,8346394624
2022-01-13 11:28:00,34,60559360,18,100294656,68,70,66,1042309120,8346394624
2022-01-13 11:28:05,31,61468672,15,100319232,56,59,54,1042698240,8346394624
2022-01-13 11:28:10,20,61603840,11,100401152,46,50,42,1044217856,8346394624
2022-01-13 11:28:15,6.3,61603840,4.6,100573184,9.4,9.6,9.2,1043693568,8346394624
2022-01-13 11:28:20,0.24,61603840,0.88,100573184,3.8,4.2,3.4,1043382272,8346394624
2022-01-13 11:28:25,0.014,61603840,0.35,100663296,5.7,6.4,5,1042886656,8346394624
2022-01-13 11:28:30,0.020,61603840,0.42,100577280,4.1,4.6,3.6,1042616320,8346394624
2022-01-13 11:28:35,0.014,61603840,0.37,100667392,4.0,4.4,3.6,1042108416,8346394624
2022-01-13 11:28:40,0.014,61603840,0.38,100577280,3.9,4.4,3.4,1042350080,8346394624
2022-01-13 11:28:45,0.0077,61603840,0.39,100667392,4.0,3.8,4.2,1041145856,8346394624
2022-01-13 11:28:50,0.0078,61603840,0.37,100577280,4.4,4.6,4.2,1041362944,8346394624
2022-01-13 11:28:55,0.021,61603840,0.93,100614144,6.8,8.2,5.4,1041387520,8346394624
2022-01-13 11:29:00,0.014,61603840,0.94,100515840,3.8,3.6,4.0,1040703488,8346394624
2022-01-13 11:29:05,0.014,61603840,0.39,100605952,3.9,3.6,4.2,1040609280,8346394624
2022-01-13 11:29:10,0.020,61603840,0.39,100515840,3.9,3.8,4.0,1040289792,8346394624
2022-01-13 11:29:15,1.7,43945984,0.37,100605952,6.6,7.0,6.2,1014116352,8346394624
2022-01-13 11:29:20,1.8,43945984,0.33,100515840,4.0,4.2,3.8,1013342208,8346394624
2022-01-13 11:29:25,0.031,43945984,0.36,100380672,6.6,6.6,6.6,1014632448,8346394624
2022-01-13 11:29:30,0.018,43945984,0.40,100380672,3.6,3.2,4.0,1013608448,8346394624
2022-01-13 11:29:35,0,43945984,3.1,100651008,24,25,23,1018081280,8346394624
2022-01-13 11:29:40,42,53297152,13,100646912,63,64,61,1022992384,8346394624
2022-01-13 11:29:45,66,57163776,18,100880384,70,70,70,1028149248,8346394624
2022-01-13 11:29:50,47,59310080,21,101281792,62,61,62,1029836800,8346394624
2022-01-13 11:29:55,51,61358080,27,101842944,73,74,73,1032003584,8346394624
2022-01-13 11:30:00,50,63123456,23,101806080,62,63,60,1033998336,8346394624
2022-01-13 11:30:05,41,64790528,20,101933056,57,58,56,1035280384,8346394624
2022-01-13 11:30:10,44,62660608,22,102121472,66,68,63,1030987776,8346394624
2022-01-13 11:30:15,43,64294912,19,102412288,65,69,61,1034514432,8346394624
2022-01-13 11:30:20,43,63909888,22,105189376,58,59,57,1034457088,8346394624
2022-01-13 11:30:25,47,63381504,23,105398272,63,64,62,1034530816,8346394624
2022-01-13 11:30:30,43,65540096,20,105582592,59,60,58,1030778880,8346394624
2022-01-13 11:30:35,39,66060288,22,106049536,58,56,60,1030668288,8346394624
2022-01-13 11:30:40,42,66199552,21,106213376,60,60,60,1031266304,8346394624
2022-01-13 11:30:45,44,66207744,18,106328064,59,60,58,1032134656,8346394624
2022-01-13 11:30:50,36,66240512,20,106553344,54,50,59,1032777728,8346394624
2022-01-13 11:30:55,36,64593920,23,106921984,63,62,64,1031606272,8346394624
2022-01-13 11:31:00,43,66129920,19,106975232,61,61,61,1033650176,8346394624
2022-01-13 11:31:05,45,66646016,21,107700224,59,59,58,1034813440,8346394624
2022-01-13 11:31:10,45,67846144,22,107671552,60,61,59,1036550144,8346394624
2022-01-13 11:31:15,42,66793472,20,108105728,59,57,62,1034309632,8346394624
2022-01-13 11:31:20,39,67842048,20,108199936,59,61,58,1035104256,8346394624
2022-01-13 11:31:25,44,66764800,23,108527616,62,61,63,1035595776,8346394624
2022-01-13 11:31:30,43,68386816,22,108613632,59,58,61,1036414976,8346394624
2022-01-13 11:31:35,36,68374528,18,109445120,56,54,57,1037574144,8346394624
2022-01-13 11:31:40,37,68366336,20,109608960,56,55,56,1037254656,8346394624
2022-01-13 11:31:45,45,67907584,23,110170112,61,63,59,1037778944,8346394624
2022-01-13 11:31:50,41,71077888,21,110276608,58,57,58,1040355328,8346394624
2022-01-13 11:31:55,39,72265728,19,111046656,58,60,55,1043169280,8346394624
2022-01-13 11:32:00,39,72523776,20,111112192,59,59,59,1043582976,8346394624
2022-01-13 11:32:05,33,72351744,18,111304704,43,41,44,1043759104,8346394624
2022-01-13 11:32:10,18,72351744,9.7,111730688,15,16,14,1043779584,8346394624
2022-01-13 11:32:15,3.4,72351744,2.5,111611904,3.5,4.0,3.0,1043517440,8346394624
2022-01-13 11:32:20,0.018,72351744,0.34,111747072,4.5,4.6,4.4,1043017728,8346394624
2022-01-13 11:32:25,0.021,72351744,0.45,111714304,5.1,4.2,6.0,1044410368,8346394624
2022-01-13 11:32:30,0.014,72351744,0.31,111616000,4.4,3.4,5.4,1043812352,8346394624
2022-01-13 11:32:35,0.0068,72351744,0.30,111718400,4.0,4.0,4.0,1044135936,8346394624
2022-01-13 11:32:40,0.015,72351744,0.36,111648768,4.2,4.0,4.4,1043922944,8346394624
2022-01-13 11:32:45,0.020,72351744,0.37,111751168,3.6,3.6,3.6,1043398656,8346394624
2022-01-13 11:32:50,2.6,69398528,1.3,111677440,12,13,11,1040097280,8346394624
2022-01-13 11:32:55,20,60420096,8.7,111992832,42,44,41,1031258112,8346394624
2022-01-13 11:33:00,37,60981248,19,112259072,70,68,72,1033863168,8346394624
2022-01-13 11:33:05,45,63860736,22,112623616,70,70,71,1037017088,8346394624
2022-01-13 11:33:10,43,63987712,24,112902144,75,74,75,1037721600,8346394624
2022-01-13 11:33:15,44,67211264,25,113491968,72,71,74,1040314368,8346394624
2022-01-13 11:33:20,50,67354624,21,113709056,68,69,67,1041448960,8346394624
2022-01-13 11:33:25,45,73060352,19,113786880,71,70,71,1046806528,8346394624
2022-01-13 11:33:30,42,67084288,21,114208768,69,68,69,1041952768,8346394624
2022-01-13 11:33:35,44,67137536,22,114581504,73,74,71,1042882560,8346394624
2022-01-13 11:33:40,38,68751360,23,115224576,68,68,68,1045483520,8346394624
2022-01-13 11:33:45,39,68771840,24,115568640,65,65,64,1045770240,8346394624
2022-01-13 11:33:50,46,70230016,19,115695616,68,70,67,1046876160,8346394624
2022-01-13 11:33:55,44,69120000,20,116146176,68,70,67,1047212032,8346394624
2022-01-13 11:34:00,43,68186112,24,116703232,64,64,64,1049006080,8346394624
2022-01-13 11:34:05,37,69689344,21,116789248,67,66,69,1049907200,8346394624
2022-01-13 11:34:10,36,69677056,19,117084160,66,65,66,1050415104,8346394624
2022-01-13 11:34:15,44,70234112,23,117690368,66,66,66,1052147712,8346394624
2022-01-13 11:34:20,44,70230016,23,117874688,69,69,70,1052819456,8346394624
2022-01-13 11:34:25,42,71802880,20,118460416,69,68,71,1055756288,8346394624
2022-01-13 11:34:30,46,70201344,20,118394880,64,62,65,1057398784,8346394624
2022-01-13 11:34:35,40,69677056,22,118939648,72,73,70,1057320960,8346394624
2022-01-13 11:34:40,39,70279168,22,119091200,68,69,67,1058324480,8346394624
2022-01-13 11:34:45,42,69611520,22,119566336,63,63,64,1058762752,8346394624
2022-01-13 11:34:50,42,70131712,20,119652352,68,69,66,1059659776,8346394624
2022-01-13 11:34:55,46,69222400,20,120336384,70,70,69,1060782080,8346394624
2022-01-13 11:35:00,39,70746112,21,119885824,64,61,66,1061253120,8346394624
2022-01-13 11:35:05,41,72396800,22,120467456,68,66,70,1062502400,8346394624
2022-01-13 11:35:10,46,68702208,22,120406016,65,66,64,1059143680,8346394624
2022-01-13 11:35:15,38,70213632,18,120475648,62,63,60,1060970496,8346394624
2022-01-13 11:35:20,39,70717440,20,120348672,65,64,67,1060077568,8346394624
2022-01-13 11:35:25,26,70684672,15,120303616,34,34,34,1060630528,8346394624
2022-01-13 11:35:30,4.9,70680576,4.7,120172544,4.1,4.8,3.4,1060265984,8346394624
2022-01-13 11:35:35,0.19,70680576,0.55,120246272,4.0,4.4,3.6,1059803136,8346394624
2022-01-13 11:35:40,0.018,70680576,0.43,120172544,3.9,4.4,3.4,1059573760,8346394624
2022-01-13 11:35:45,0.013,70680576,0.27,120172544,4.2,4.8,3.6,1059569664,8346394624
2022-01-13 11:35:50,0.0078,70680576,0.40,120176640,3.7,4.0,3.4,1059020800,8346394624
2022-01-13 11:35:55,0.016,70680576,1.2,120270848,6.6,7.6,5.6,1060433920,8346394624
2022-01-13 11:36:00,0.023,70680576,1.1,120270848,4.7,3.8,5.6,1059053568,8346394624
2022-01-13 11:36:05,0.11,70811648,0.34,120270848,6.0,6.2,5.8,1055629312,8346394624
2022-01-13 11:36:10,14,63447040,5.9,120561664,29,30,28,1052884992,8346394624
2022-01-13 11:36:15,35,60665856,16,120537088,70,71,68,1049849856,8346394624
2022-01-13 11:36:20,41,63901696,21,120508416,73,72,74,1054535680,8346394624
2022-01-13 11:36:25,41,65187840,22,120479744,81,79,82,1056808960,8346394624
2022-01-13 11:36:30,48,69943296,25,120393728,81,82,81,1059004416,8346394624
2022-01-13 11:36:35,45,73510912,24,120471552,70,70,71,1063931904,8346394624
2022-01-13 11:36:40,40,73609216,22,120352768,76,75,77,1066340352,8346394624
2022-01-13 11:36:45,38,75603968,22,120627200,74,74,74,1068003328,8346394624
2022-01-13 11:36:50,40,76242944,21,120733696,71,71,71,1069248512,8346394624
2022-01-13 11:36:55,48,76738560,23,120520704,78,79,78,1069490176,8346394624
2022-01-13 11:37:00,45,76537856,24,120385536,78,79,77,1071222784,8346394624
2022-01-13 11:37:05,38,75550720,21,120406016,67,69,66,1070514176,8346394624
2022-01-13 11:37:10,42,76275712,23,120434688,79,77,80,1072287744,8346394624
2022-01-13 11:37:15,40,76795904,22,120553472,75,73,78,1073164288,8346394624
2022-01-13 11:37:20,39,77361152,20,120700928,67,70,65,1075630080,8346394624
2022-01-13 11:37:25,45,75755520,20,120655872,77,78,77,1075671040,8346394624
2022-01-13 11:37:30,38,75776000,22,120418304,78,78,78,1075908608,8346394624
2022-01-13 11:37:35,36,75816960,21,120393728,69,69,70,1076068352,8346394624
2022-01-13 11:37:40,48,70451200,19,120508416,80,79,82,1070387200,8346394624
2022-01-13 11:37:45,45,69943296,22,120659968,74,73,75,1071382528,8346394624
