"Time","Acme Web CPU Usage","Acme Web Memory Usage","MongoDB CPU Usage","MongoDB Memory Usage","Avg Host CPU Usage","Host CPU 0 Usage","Host CPU 1 Usage","Host Mem Usage","Host Mem Total"
2022-01-12 22:15:55,9.6,71704576,5.9,82202624,22,23,20,1021886464,8346394624
2022-01-12 22:16:00,6.3,71704576,4.5,82272256,17,18,17,1021603840,8346394624
2022-01-12 22:16:05,2.1,71704576,1.6,82276352,6.8,7.8,5.8,1022115840,8346394624
2022-01-12 22:16:10,0.19,71704576,0.41,82366464,4.5,4.2,4.8,1021620224,8346394624
2022-01-12 22:16:15,0.012,71704576,0.35,82276352,3.9,4.2,3.6,1021341696,8346394624
2022-01-12 22:16:20,0.013,71704576,0.35,82497536,4.0,3.4,4.6,1021599744,8346394624
2022-01-12 22:16:25,0.014,71704576,0.40,82448384,3.7,3.0,4.4,1021341696,8346394624
2022-01-12 22:16:30,0.028,71704576,0.37,82448384,4.0,3.6,4.4,1021599744,8346394624
2022-01-12 22:16:35,0.045,71704576,0.35,82214912,5.4,4.6,6.2,1021181952,8346394624
2022-01-12 22:16:40,0.034,71704576,0.39,82276352,4.0,3.6,4.4,1020923904,8346394624
2022-01-12 22:16:45,2.7,48152576,1.5,82214912,8.8,8.8,8.8,996802560,8346394624
2022-01-12 22:16:50,6.4,48152576,4.0,82214912,25,25,24,991817728,8346394624
2022-01-12 22:16:55,11,48156672,5.8,82411520,31,33,28,992600064,8346394624
2022-01-12 22:17:00,13,48189440,6.1,82108416,31,32,30,993968128,8346394624
2022-01-12 22:17:05,13,43479040,6.5,82173952,37,38,36,989777920,8346394624
2022-01-12 22:17:10,14,43991040,6.5,82243584,38,38,37,989659136,8346394624
2022-01-12 22:17:15,12,44007424,5.2,82288640,29,31,28,990556160,8346394624
2022-01-12 22:17:20,9.8,44011520,5.5,82362368,32,33,32,990965760,8346394624
2022-01-12 22:17:25,9.8,44032000,6.0,82288640,36,37,34,991412224,8346394624
2022-01-12 22:17:30,11,44064768,5.4,82501632,29,29,29,991481856,8346394624
2022-01-12 22:17:35,12,44072960,5.7,82710528,35,36,33,992821248,8346394624
2022-01-12 22:17:40,12,44101632,5.7,82780160,36,38,34,993112064,8346394624
2022-01-12 22:17:45,13,44109824,5.9,82714624,29,30,28,993140736,8346394624
2022-01-12 22:17:50,11,44118016,5.9,82620416,33,33,33,993288192,8346394624
2022-01-12 22:17:55,9.4,44134400,5.9,82817024,35,38,33,995270656,8346394624
2022-01-12 22:18:00,12,44539904,6.5,82829312,31,32,31,995475456,8346394624
2022-01-12 22:18:05,13,45215744,7.9,82939904,39,42,35,997838848,8346394624
2022-01-12 22:18:10,14,46034944,7.0,83009536,39,40,37,998920192,8346394624
2022-01-12 22:18:15,14,46669824,6.6,83099648,32,33,30,1000009728,8346394624
2022-01-12 22:18:20,11,46620672,6.8,83320832,33,33,33,999022592,8346394624
2022-01-12 22:18:25,9.7,46624768,4.8,83357696,34,34,33,999907328,8346394624
2022-01-12 22:18:30,9.3,46694400,4.9,83464192,27,27,27,999071744,8346394624
2022-01-12 22:18:35,10,46825472,5.5,83509248,33,34,33,1000271872,8346394624
2022-01-12 22:18:40,11,47058944,6.0,83451904,35,36,33,1000816640,8346394624
2022-01-12 22:18:45,9.7,47235072,5.3,83353600,28,28,28,1001336832,8346394624
2022-01-12 22:18:50,10,47325184,5.3,83353600,33,34,32,1001517056,8346394624
2022-01-12 22:18:55,11,47652864,6.8,83427328,37,38,35,1003212800,8346394624
2022-01-12 22:19:00,11,47652864,6.5,83365888,30,31,28,1002737664,8346394624
2022-01-12 22:19:05,11,47661056,5.4,83410944,33,34,32,1003098112,8346394624
2022-01-12 22:19:10,8.0,47669248,4.4,83685376,31,32,31,1004126208,8346394624
2022-01-12 22:19:15,4.6,47673344,2.8,83562496,11,11,11,1003446272,8346394624
2022-01-12 22:19:20,0.89,47673344,0.95,83656704,4.3,3.8,4.8,1003188224,8346394624
2022-01-12 22:19:25,0.014,47673344,0.35,83562496,3.3,3.4,3.2,1003200512,8346394624
2022-01-12 22:19:30,0.014,47673344,0.36,83562496,4.4,4.4,4.4,1002684416,8346394624
2022-01-12 22:19:35,0.013,47673344,0.35,83562496,5.4,6.2,4.6,1003286528,8346394624
2022-01-12 22:19:40,0.013,47673344,0.33,83656704,3.8,4.0,3.6,1002233856,8346394624
2022-01-12 22:19:45,0.014,47673344,0.36,83562496,3.6,3.0,4.2,1002225664,8346394624
2022-01-12 22:19:50,0.014,47673344,0.51,83648512,5,4.6,5.4,1002504192,8346394624
2022-01-12 22:19:55,1.0,47263744,1.0,83693568,5.9,6.2,5.6,1001984000,8346394624
2022-01-12 22:20:00,4.7,47656960,2.8,83607552,14,14,14,1001803776,8346394624
2022-01-12 22:20:05,11,43417600,5.0,83664896,45,48,41,1000366080,8346394624
2022-01-12 22:20:10,13,43429888,6.1,83464192,42,44,40,1003515904,8346394624
2022-01-12 22:20:15,13,43479040,6.6,83537920,41,42,40,1003040768,8346394624
2022-01-12 22:20:20,15,43520000,7.1,83611648,41,41,41,1003646976,8346394624
2022-01-12 22:20:25,13,44015616,6.2,83664896,40,42,38,1005481984,8346394624
2022-01-12 22:20:30,12,44036096,5.6,83587072,40,41,39,1005686784,8346394624
2022-01-12 22:20:35,12,44036096,5.9,83648512,40,39,40,1005789184,8346394624
2022-01-12 22:20:40,11,44273664,6.1,83595264,42,42,41,1006944256,8346394624
2022-01-12 22:20:45,13,44306432,5.3,83763200,40,40,39,1007583232,8346394624
2022-01-12 22:20:50,12,44355584,6.3,83456000,37,39,36,1008218112,8346394624
2022-01-12 22:20:55,10,44363776,6.8,83472384,43,44,41,1009909760,8346394624
2022-01-12 22:21:00,11,44376064,5.6,83599360,41,42,39,1010700288,8346394624
2022-01-12 22:21:05,11,44625920,6.6,83566592,39,41,37,1011687424,8346394624
2022-01-12 22:21:10,12,44695552,5.9,83644416,46,48,44,1011322880,8346394624
2022-01-12 22:21:15,15,44703744,7.2,83755008,43,43,43,1011326976,8346394624
2022-01-12 22:21:20,14,45170688,8.3,83570688,39,40,38,1011679232,8346394624
2022-01-12 22:21:25,12,45867008,6.8,83640320,44,46,43,1013157888,8346394624
2022-01-12 22:21:30,12,46338048,6.7,83812352,38,39,38,1014308864,8346394624
2022-01-12 22:21:35,11,46407680,5.6,83861504,36,36,36,1016700928,8346394624
2022-01-12 22:21:40,9.8,46407680,5.0,83931136,41,42,41,1019109376,8346394624
