Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
5.5,42086400,3.1,80384000,30,31,28,981192704,8346394624
4.9,42086400,2.8,80482304,28,30,26,982904832,8346394624
4.6,42086400,2.6,80506880,38,40,36,981610496,8346394624
4.8,42086400,3,80621568,31,33,29,982274048,8346394624
4.6,42094592,2.9,80646144,29,31,26,983486464,8346394624
4.8,42102784,2.5,80670720,38,39,36,983855104,8346394624
6.2,42106880,2.5,80691200,35,36,33,983908352,8346394624
7,42123264,3.1,80498688,28,28,27,984555520,8346394624
7.2,42209280,3.4,80527360,40,43,38,985092096,8346394624
7.1,42229760,3,80625664,33,33,32,985563136,8346394624
6.7,42262528,2.6,80650240,30,33,28,986767360,8346394624
7.4,42491904,3.2,80773120,39,39,38,987025408,8346394624
6.2,42496000,3.1,80924672,33,34,32,989081600,8346394624
4.8,42512384,2.3,80912384,27,28,25,988901376,8346394624
5.3,42549248,2.8,80941056,38,39,37,990150656,8346394624
4.8,42553344,2.9,81006592,32,34,31,991473664,8346394624
5.1,42561536,2.4,81027072,28,28,28,991453184,8346394624
5.1,42565632,2.5,81096704,36,38,34,991531008,8346394624
4,42582016,2.6,81117184,32,32,31,992739328,8346394624
5.1,42594304,2.4,81084416,29,29,28,993595392,8346394624
5.8,42594304,2.2,81100800,35,36,34,994906112,8346394624
4.8,42594304,2.6,81129472,32,33,31,994787328,8346394624
4.3,42594304,2.7,81281024,28,30,25,995876864,8346394624
5.7,42594304,3.1,81129472,35,37,34,996450304,8346394624
5.5,42594304,3,81149952,36,37,34,997019648,8346394624
5.1,42594304,2.6,81125376,27,28,26,997793792,8346394624
4.9,42594304,2.7,81145856,34,35,32,998555648,8346394624
3,42594304,2.2,81350656,32,34,30,998330368,8346394624
1.2,42594304,1.2,81350656,6.5,7.8,5.2,997912576,8346394624
0.1,42594304,0.38,81444864,4,4.2,3.8,997326848,8346394624
0.011,42594304,0.36,81350656,3.9,3.8,4,996892672,8346394624
0.012,42594304,0.38,81444864,3.6,3,4.2,996884480,8346394624
0.013,42594304,0.33,81350656,4.1,4,4.2,996626432,8346394624
0.014,42594304,0.33,81444864,3.4,4,2.8,994885632,8346394624
1,42614784,0.95,81362944,8.3,7.8,8.8,995827712,8346394624
3.8,42614784,2.4,81313792,22,24,21,996200448,8346394624
5.7,42614784,2.9,81330176,43,46,41,999182336,8346394624
