Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
6.2,44695552,3,109514752,45,47,43,1146359808,8346394624
5,45260800,2.6,109531136,33,34,31,1146859520,8346394624
5.3,45453312,2.4,109649920,41,43,40,1145319424,8346394624
5.3,45445120,3,109674496,43,43,42,1145790464,8346394624
5.6,45719552,2.9,109563904,36,37,34,1145757696,8346394624
5.1,45785088,2.8,109711360,40,42,37,1147469824,8346394624
5,45740032,3.5,109809664,47,49,45,1147555840,8346394624
8.5,45924352,3.6,109707264,38,40,36,1148170240,8346394624
8.9,45953024,3.3,109862912,43,45,41,1151201280,8346394624
7.5,46055424,2.8,109752320,45,46,44,1150795776,8346394624
6.9,46247936,2.6,109821952,39,40,38,1150533632,8346394624
6.6,45334528,3.6,109854720,42,43,41,1150943232,8346394624
6.4,45613056,3.6,109973504,44,46,42,1151205376,8346394624
6.2,45924352,2.8,109989888,41,43,38,1151315968,8346394624
6,46407680,2.7,109887488,39,41,38,1152798720,8346394624
5.8,46534656,3.2,109912064,44,45,43,1152921600,8346394624
5.6,46546944,3.2,110006272,38,39,36,1152479232,8346394624
5.1,46555136,3.5,110010368,41,42,40,1153007616,8346394624
5.1,46649344,3.1,110096384,41,43,40,1153728512,8346394624
5.5,46866432,2.5,110116864,41,43,40,1153531904,8346394624
6.1,46878720,2.8,110145536,37,39,36,1153794048,8346394624
5.6,46878720,2.9,110161920,44,46,42,1155489792,8346394624
4.5,46878720,2.8,110190592,38,39,37,1155067904,8346394624
5.4,46878720,3,110223360,41,42,39,1154985984,8346394624
6,46878720,2.9,110125056,43,45,41,1155231744,8346394624
5.8,46878720,3.1,110182400,42,44,40,1154478080,8346394624
5.9,46878720,3.1,110276608,37,38,36,1154473984,8346394624
4,46878720,2.2,110288896,42,45,40,1155682304,8346394624
1.3,46878720,1.3,110309376,12,12,11,1155358720,8346394624
0.19,46878720,0.88,110407680,6.1,5.4,6.8,1156198400,8346394624
0.012,46878720,0.68,110514176,4.3,4.2,4.4,1155596288,8346394624
0.018,46878720,0.4,110407680,4,4.2,3.8,1155223552,8346394624
0.012,46878720,0.37,110407680,4,4.4,3.6,1155284992,8346394624
0.0059,46878720,0.36,110407680,3.9,4,3.8,1154805760,8346394624
0.67,46878720,0.66,110276608,6,5.4,6.6,1153916928,8346394624
4.2,46878720,1.7,110428160,19,19,19,1153564672,8346394624
5.9,46882816,3,110264320,51,53,49,1157144576,8346394624
4.9,46882816,3,110284800,49,53,46,1156722688,8346394624
5.2,46923776,2.6,110583808,38,39,38,1157128192,8346394624
5.1,46952448,3.1,110612480,55,57,53,1157890048,8346394624
5.1,46989312,2.9,110821376,49,51,47,1157386240,8346394624
4.6,47022080,3,110915584,39,40,38,1158799360,8346394624
5.8,47288320,3.3,110813184,56,59,53,1161289728,8346394624
6.3,47366144,2.9,110837760,52,54,50,1162047488,8346394624
5.7,47603712,3.2,110870528,39,40,38,1162612736,8346394624
6,47538176,3.1,110891008,54,55,53,1165668352,8346394624
5.1,47538176,3,110919680,51,52,49,1167396864,8346394624
5.8,47591424,2.9,110931968,40,41,38,1168371712,8346394624
6.2,47644672,3,110833664,53,54,52,1170972672,8346394624
5.3,47648768,3.2,110985216,51,53,49,1172402176,8346394624
5,47669248,2.7,110923776,37,39,36,1174286336,8346394624
4.7,47820800,2.8,110948352,53,53,52,1200627712,8346394624
4,47874048,2.9,111054848,50,51,49,1198272512,8346394624
4.6,48009216,3.1,111153152,39,41,38,1199697920,8346394624
4.2,48009216,2.7,111185920,52,54,50,1200840704,8346394624
4,48119808,2.3,111206400,49,50,47,1203077120,8346394624
5.9,48340992,3,111153152,41,43,40,1204920320,8346394624
5.7,48345088,3,111173632,53,55,52,1176469504,8346394624
4.9,48345088,2.6,111136768,58,60,57,1178537984,8346394624
5.5,48418816,2.9,111165440,46,46,45,1179025408,8346394624
5.9,48594944,3.4,111284224,54,56,53,1178935296,8346394624
5.4,48615424,2.9,111300608,56,57,55,1179926528,8346394624
5,48615424,3,111407104,39,40,38,1179222016,8346394624
4.4,48615424,2.9,111419392,48,50,47,1170026496,8346394624
2.1,48615424,1.4,111611904,20,21,20,1167761408,8346394624
0.42,48615424,1,111812608,6.6,6,7.2,1168580608,8346394624
0.013,48615424,0.73,111898624,3.8,3.4,4.2,1167785984,8346394624
0.012,48615424,0.38,111820800,4.2,3.8,4.6,1167396864,8346394624
0.012,48615424,0.42,111685632,3.9,3.6,4.2,1167122432,8346394624
0.013,48615424,0.4,111685632,4.1,4.2,4,1166757888,8346394624
0.56,48615424,0.76,111689728,5.3,5.4,5.2,1166569472,8346394624
3,48623616,1.9,111714304,13,12,14,1166495744,8346394624
5.6,48631808,3.2,111812608,57,58,56,1171644416,8346394624
6.7,48631808,3.1,111828992,61,63,59,1173172224,8346394624
5.2,48631808,2.9,111951872,52,55,48,1173372928,8346394624
5.3,48631808,3.5,111845376,50,54,47,1173942272,8346394624
5.6,48631808,3.1,111874048,61,64,57,1174044672,8346394624
4.3,48631808,3.2,111943680,53,55,51,1176125440,8346394624
5.7,48631808,3.4,112070656,51,53,49,1177874432,8346394624
6.5,48631808,3.5,112103424,65,68,62,1180413952,8346394624
6.5,48631808,3.4,112197632,57,59,54,1181421568,8346394624
6.2,48631808,2.9,112222208,46,49,44,1180889088,8346394624
5.2,48631808,3,112209920,62,64,60,1182580736,8346394624
6,48631808,3.2,112242688,58,60,56,1182220288,8346394624
6.5,48640000,3.1,112357376,46,47,45,1182089216,8346394624
4.8,48640000,3,112381952,64,66,61,1183633408,8346394624
5.1,48779264,3.4,112349184,55,57,54,1182593024,8346394624
5.8,48660480,3.3,112369664,44,46,43,1182797824,8346394624
5.4,48672768,2.9,112455680,64,66,62,1183916032,8346394624
5.1,48672768,3,112545792,59,60,57,1182937088,8346394624
4.9,48672768,3,112574464,43,44,41,1181540352,8346394624
5.3,48680960,2.9,112603136,66,69,63,1185521664,8346394624
5.7,47616000,3.1,112726016,57,59,55,1184583680,8346394624
5.7,47624192,3.1,112611328,43,44,42,1183907840,8346394624
5.4,47624192,2.9,112631808,63,66,60,1185673216,8346394624
4.9,47632384,2.9,112656384,58,61,56,1185419264,8346394624
6,47644672,3.5,112746496,44,46,42,1185185792,8346394624
5.7,47652864,3.3,112631808,63,65,60,1188560896,8346394624
4.9,47652864,2.8,112660480,58,61,56,1186799616,8346394624
4.4,47652864,2.6,112676864,41,42,39,1186115584,8346394624
2.1,47652864,1.5,112676864,39,40,37,1185861632,8346394624
0.57,47652864,0.96,112713728,6.3,6.8,5.8,1186664448,8346394624
0.013,47652864,0.7,112812032,3.8,4.4,3.2,1185890304,8346394624
0.012,47652864,0.34,112713728,3.7,3.6,3.8,1185873920,8346394624
0.011,47652864,0.34,112713728,4.1,3.6,4.6,1185841152,8346394624
0.0057,47652864,0.36,112713728,3.7,4,3.4,1185824768,8346394624
0.23,47652864,0.5,112844800,5,4.6,5.4,1185505280,8346394624
2.6,47661056,1.6,112869376,11,11,10,1186304000,8346394624
5.5,48201728,2.8,112914432,56,58,54,1183821824,8346394624
5.1,48201728,2.9,112807936,68,70,65,1187811328,8346394624
4.9,48205824,2.5,112906240,66,69,64,1187880960,8346394624
5.5,48234496,2.7,112795648,50,52,47,1191845888,8346394624
5.7,48246784,3.1,112820224,70,72,68,1195491328,8346394624
5.4,48246784,3.5,112939008,71,74,68,1194176512,8346394624
5.2,48254976,3.8,112971776,51,54,48,1191194624,8346394624
6.5,48345088,3.6,113004544,71,73,70,1198051328,8346394624
6.7,48345088,3.6,112992256,68,71,65,1198481408,8346394624
5.9,48357376,3.1,113012736,51,53,49,1196896256,8346394624
6.3,48422912,3.1,113065984,70,70,69,1200721920,8346394624
6.8,48508928,3.5,113090560,68,71,66,1201250304,8346394624
5.8,48513024,3.5,113197056,55,55,54,1204797440,8346394624
4.4,48513024,3.2,113082368,66,68,64,1205862400,8346394624
5.2,48545792,2.7,113192960,68,71,66,1204813824,8346394624
5.8,48558080,3,113217536,51,53,49,1201618944,8346394624
4.1,48566272,3.1,113311744,64,67,62,1206030336,8346394624
4.9,48566272,3.1,113364992,68,70,65,1206149120,8346394624
5.2,48570368,3.3,113250304,59,61,56,1207107584,8346394624
4.2,48570368,2.8,113270784,65,69,62,1208479744,8346394624
5.4,47828992,3.3,113328128,71,72,70,1172815872,8346394624
6.5,47828992,3.4,113496064,57,59,55,1156468736,8346394624
5.2,47828992,2.6,113254400,67,69,65,1142620160,8346394624
5.2,47837184,2.9,113283072,71,73,68,1129967616,8346394624
6,47837184,3.4,113311744,59,62,57,1110843392,8346394624
6,47927296,3.3,113328128,65,67,62,1106669568,8346394624
5.6,47927296,3.4,113512448,72,73,70,1100070912,8346394624
4.3,48033792,2.9,113393664,54,56,51,1096192000,8346394624
2.4,48033792,1.4,113397760,47,48,45,1098358784,8346394624
0.42,48033792,1.1,113524736,4.1,4.6,3.6,1097838592,8346394624
0.014,48033792,0.75,113565696,5.9,5.8,6,1098616832,8346394624
0.0056,48033792,0.39,113451008,3.4,3.8,3,1098358784,8346394624
0.011,48033792,0.33,113455104,4.1,3.8,4.4,1098870784,8346394624
0.017,48033792,0.32,113455104,3.6,3.8,3.4,1098330112,8346394624
0.17,48033792,0.49,113459200,4.9,5.4,4.4,1098035200,8346394624
2.3,48295936,1.5,113479680,7.9,7.6,8.2,1097859072,8346394624
5.1,49012736,2.7,113524736,63,64,62,1089716224,8346394624
5.6,49016832,2.8,113668096,69,71,66,1104932864,8346394624
5.3,49016832,2.7,113434624,77,80,75,1104973824,8346394624
5.2,49016832,3.5,113467392,68,72,65,1099653120,8346394624
4.9,49016832,3.5,113532928,69,71,66,1103585280,8346394624
5.5,49033216,2.9,113508352,79,81,76,1103855616,8346394624
5.6,49049600,3.2,113549312,70,72,68,1099395072,8346394624
6.3,49049600,3.7,113582080,71,74,69,1113518080,8346394624
6.8,49065984,3.5,113700864,79,81,76,1123778560,8346394624
5.6,49065984,3.2,113725440,74,78,71,1115643904,8346394624
5.6,49065984,3.3,113901568,67,69,65,1111834624,8346394624
5.6,49065984,3.5,113799168,81,83,79,1114071040,8346394624
5.5,49065984,3.6,113774592,78,83,73,1110937600,8346394624
5.9,49065984,3.5,113799168,67,70,65,1113964544,8346394624
5.8,49065984,3.2,113893376,79,82,77,1117319168,8346394624
5.5,49106944,3,113913856,73,76,71,1114841088,8346394624
5.1,49143808,3,113885184,66,69,64,1116053504,8346394624
4.8,49160192,3.7,113913856,80,83,78,1122025472,8346394624
4.6,49172480,3.4,114024448,72,76,68,1122254848,8346394624
4.4,49307648,2.6,114044928,70,73,67,1124081664,8346394624
5.9,47460352,3,114077696,80,83,78,1133879296,8346394624
6.4,47464448,2.8,114094080,74,78,71,1119916032,8346394624
5.9,47464448,2.9,114208768,64,65,63,1119907840,8346394624
6.2,47464448,3.2,114360320,78,81,76,1125380096,8346394624
6.1,47464448,3.6,114221056,78,82,74,1128882176,8346394624
6,47468544,3.5,114241536,71,74,67,1137487872,8346394624
6.8,46227456,2.7,114360320,84,87,80,1142480896,8346394624
5.8,46227456,2.7,114380800,74,78,71,1135554560,8346394624
2.6,46227456,2.1,114249728,53,55,51,1122402304,8346394624
0.78,46227456,1.3,114298880,4.4,3.4,5.4,1119092736,8346394624
0.0067,46227456,0.75,114393088,5.8,7,4.6,1119604736,8346394624
0.0057,46227456,0.36,114302976,3.5,3.2,3.8,1119354880,8346394624
0.018,46227456,0.37,114307072,4.5,5,4,1119625216,8346394624
0.019,46227456,0.38,114307072,3.5,3.2,3.8,1119608832,8346394624
0.1,46227456,0.38,114307072,4.6,4.8,4.4,1119342592,8346394624
1.9,46260224,1.4,114327552,8.7,8.2,9.2,1118998528,8346394624
6.1,46280704,3.1,114380800,59,60,58,1112457216,8346394624
7,46686208,3.2,114401280,71,75,68,1120002048,8346394624
5.9,46641152,2.9,114499584,81,83,80,1125711872,8346394624
5.5,46641152,3.2,114524160,83,85,81,1133481984,8346394624
5.6,46645248,3.1,114487296,75,77,72,1122516992,8346394624
5.5,47321088,3.9,114515968,79,80,77,1126174720,8346394624
5.4,47403008,3.7,114618368,84,86,83,1138339840,8346394624
7.1,46870528,3.1,114642944,78,82,75,1132826624,8346394624
8.1,46870528,3.5,114696192,80,82,77,1133076480,8346394624
7.8,46882816,3.3,114716672,85,87,83,1141420032,8346394624
6.6,46891008,3.7,114860032,79,82,76,1138032640,8346394624
6.9,47034368,3.8,114884608,77,79,75,1142427648,8346394624
7.3,47136768,3.5,114880512,88,90,86,1147822080,8346394624
5.9,47202304,3.2,114896896,77,80,74,1136365568,8346394624
5.1,47206400,3,114786304,76,77,75,1137426432,8346394624
6.2,47210496,3.1,114806784,86,88,84,1141559296,8346394624
5.8,47230976,3.3,115032064,75,77,73,1134211072,8346394624
5.2,47288320,3.7,115126272,76,77,74,1144643584,8346394624
5.2,47292416,3.7,115433472,84,86,83,1160695808,8346394624
4.6,47357952,3.2,115322880,81,84,78,1152843776,8346394624
6,47501312,2.8,115490816,78,80,76,1159643136,8346394624
6.4,47501312,2.9,115511296,84,87,81,1164058624,8346394624
5.4,47501312,3.2,115621888,77,79,74,1158533120,8346394624
5.9,47501312,3.1,115642368,75,76,74,1153851392,8346394624
6.8,47534080,3.2,115404800,86,89,83,1165955072,8346394624
5.8,47718400,3.4,115429376,81,84,78,1159086080,8346394624
5.5,47980544,3.4,115556352,76,79,74,1157963776,8346394624
5.1,47865856,3.2,115572736,84,86,82,1163497472,8346394624
3,47865856,2.3,115589120,75,77,72,1152901120,8346394624
1.1,47865856,1.5,115716096,4.7,5.6,3.8,1152061440,8346394624
0.014,47865856,0.75,115748864,5.5,5,6,1152356352,8346394624
0.013,47865856,0.35,115642368,3.6,4,3.2,1152356352,8346394624
0.007,47865856,0.34,115642368,4.1,3.8,4.4,1151832064,8346394624
0.0055,47865856,0.32,115642368,3.4,3.6,3.2,1151832064,8346394624
0.019,47865856,0.33,115748864,4.1,3.8,4.4,1151827968,8346394624
0.013,47865856,0.34,115646464,3.3,3.8,2.8,1151819776,8346394624
0.012,47865856,0.42,115646464,6,6.4,5.6,1152405504,8346394624
0.018,47865856,0.4,115646464,3.7,4.4,3,1152282624,8346394624
0.012,47865856,0.34,115646464,4.3,3.6,5,1151229952,8346394624
0.011,47865856,0.37,115646464,4.1,4.4,3.8,1149321216,8346394624
0.0068,47865856,0.4,115662848,4.3,4.4,4.2,1146974208,8346394624
2.6,48037888,1.9,115830784,10,10,10,1145942016,8346394624
6.6,48037888,4,115875840,21,23,20,1123446784,8346394624
8.9,48037888,4.1,115785728,22,22,22,1114304512,8346394624
9.9,48050176,3.8,115904512,24,25,23,1112498176,8346394624
9.8,48050176,4.6,115957760,23,24,21,1107075072,8346394624
11,46981120,4.9,116084736,21,21,22,1105268736,8346394624
10,47116288,4.5,116051968,25,25,26,1093144576,8346394624
10,47984640,5,115826688,27,28,25,1085153280,8346394624
10,47996928,5.3,115978240,22,20,23,1084014592,8346394624
8.8,48312320,4.6,115994624,22,24,21,1084522496,8346394624
9.1,47644672,4.2,116035584,24,25,24,1084764160,8346394624
9.7,47816704,4.5,116432896,20,20,20,1084375040,8346394624
9.5,48472064,4.7,116916224,23,25,22,1085644800,8346394624
10,49516544,4.6,116887552,27,26,27,1087840256,8346394624
10,49623040,4.6,116932608,21,22,19,1087860736,8346394624
8.3,49696768,4.6,116944896,21,22,20,1088806912,8346394624
8.1,49782784,4.5,116989952,25,26,23,1088647168,8346394624
9,49881088,4.6,117125120,20,21,19,1087344640,8346394624
9.1,49885184,4.1,117153792,21,21,21,1085829120,8346394624
9,49958912,4.2,117108736,28,27,29,1087217664,8346394624
11,49971200,5.6,117301248,23,24,22,1086676992,8346394624
12,49975296,6,117362688,24,24,24,1086398464,8346394624
11,50298880,6,117288960,27,28,26,1086615552,8346394624
10,50401280,5.3,117571584,21,21,21,1087885312,8346394624
8.8,50503680,5,117366784,24,26,22,1087418368,8346394624
8.2,50524160,4.9,117673984,25,26,24,1087791104,8346394624
8,50540544,3.5,117571584,18,19,17,1087741952,8346394624
7.8,50675712,3.4,117497856,20,20,20,1088757760,8346394624
7.1,49709056,3.8,117526528,21,21,21,1079291904,8346394624
3.8,49659904,2.5,117624832,12,12,11,1075167232,8346394624
0.95,49659904,0.96,117624832,3.8,4.2,3.4,1074130944,8346394624
0.014,49659904,0.35,117706752,5.5,6.4,4.6,1074130944,8346394624
0.014,49659904,0.4,117624832,4,4.4,3.6,1074388992,8346394624
0.0057,49659904,0.42,117706752,3.8,3.4,4.2,1074388992,8346394624
0.011,49659904,0.43,117624832,4.2,4.4,4,1074147328,8346394624
0.26,49659904,0.49,117624832,4.8,5.4,4.2,1073864704,8346394624
4,49647616,2.3,117846016,12,14,10,1074110464,8346394624
8.1,50884608,3.9,117637120,27,27,27,1075400704,8346394624
9.5,51466240,4.1,117682176,34,35,32,1075642368,8346394624
9.5,48381952,4.7,117604352,30,31,29,1072091136,8346394624
9.2,48959488,4.6,117649408,28,28,29,1071800320,8346394624
11,48959488,5.3,117719040,31,31,31,1071796224,8346394624
11,49111040,5.7,117768192,33,34,33,1070206976,8346394624
9.8,44949504,4.4,117678080,30,32,27,1066049536,8346394624
10,45629440,4.9,117731328,31,32,31,1066549248,8346394624
9.4,45645824,4.6,117850112,32,32,32,1067323392,8346394624
8.3,45645824,4.4,117780480,25,27,24,1067532288,8346394624
8.4,45649920,4.9,117927936,31,32,29,1067900928,8346394624
8.5,45654016,4.7,117886976,34,35,33,1073467392,8346394624
9.2,45654016,5.5,118038528,26,27,25,1074651136,8346394624
9.8,45654016,5.1,118075392,37,38,35,1073381376,8346394624
8.2,45654016,4.3,118059008,33,34,32,1072611328,8346394624
8,45785088,4.6,118104064,27,28,26,1072783360,8346394624
9.1,45867008,4.9,118091776,29,28,29,1072984064,8346394624
8.4,46227456,5.1,118140928,31,33,30,1074061312,8346394624
9.9,46706688,4.9,118104064,29,29,29,1075306496,8346394624
12,47251456,5.8,118173696,35,34,36,1076760576,8346394624
11,47898624,6.1,118509568,36,36,35,1077067776,8346394624
9.9,48496640,4.9,118288384,27,29,24,1077608448,8346394624
9.5,48832512,5.3,118456320,31,31,30,1079615488,8346394624
8.8,49360896,5.8,118530048,31,31,31,1080131584,8346394624
8.9,49553408,4.9,118788096,24,24,24,1080770560,8346394624
8.4,49565696,3.9,118562816,30,31,29,1084149760,8346394624
7.4,49565696,3.8,118534144,30,31,28,1084583936,8346394624
5.9,49565696,3.9,118566912,22,24,21,1084489728,8346394624
3,49565696,2.1,118571008,12,13,11,1083113472,8346394624
0.62,49565696,0.57,118571008,3.4,3,3.8,1082081280,8346394624
0.011,49565696,0.37,118665216,4.3,4,4.6,1081909248,8346394624
0.0058,49565696,0.39,118571008,6.8,6.4,7.2,1082724352,8346394624
0.011,49565696,0.41,118575104,4.2,4.6,3.8,1081487360,8346394624
0.016,49565696,0.42,118575104,4.1,4.4,3.8,1082261504,8346394624
1.1,49565696,0.89,118587392,6.7,6,7.4,1081708544,8346394624
4.9,49872896,2.8,118796288,18,19,18,1081483264,8346394624
8,50036736,4.4,118853632,36,37,34,1083650048,8346394624
9.4,50040832,4.5,118894592,41,42,40,1085194240,8346394624
8.8,50040832,4.9,118964224,32,33,31,1084801024,8346394624
9.6,50221056,5.4,118755328,44,45,42,1083961344,8346394624
10,50225152,5.3,118960128,37,38,36,1085227008,8346394624
9,50229248,4.4,118874112,32,33,31,1082019840,8346394624
10,46604288,4.2,119115776,42,43,42,1082060800,8346394624
9.3,46604288,4.9,119238656,39,40,39,1082544128,8346394624
8.8,46632960,4.5,119422976,30,30,29,1082974208,8346394624
8.8,46641152,4.5,119623680,40,40,41,1083928576,8346394624
8,46641152,5.1,119750656,36,37,36,1084145664,8346394624
8.8,46645248,5.1,119812096,33,33,33,1085173760,8346394624
8.9,46731264,5.1,119746560,43,44,41,1084809216,8346394624
9,46952448,5,119795712,38,40,36,1084813312,8346394624
8.4,46952448,4.6,119713792,30,31,30,1085083648,8346394624
8,46952448,5.1,119767040,42,44,40,1085153280,8346394624
8.3,47271936,4.6,119799808,36,37,34,1085313024,8346394624
8.7,47505408,4.6,119861248,32,33,30,1085255680,8346394624
9.6,47456256,5.5,119803904,42,44,41,1086832640,8346394624
11,47583232,5.9,119873536,42,45,38,1088163840,8346394624
12,48283648,5.7,120020992,35,36,34,1087979520,8346394624
11,48730112,5.1,119951360,43,43,42,1089531904,8346394624
9.4,49127424,5.9,119959552,38,40,36,1090695168,8346394624
8.6,49479680,5.7,120070144,31,32,30,1091309568,8346394624
9.2,50098176,4.1,120209408,38,39,37,1092341760,8346394624
8.1,50221056,3.8,120385536,39,39,38,1093140480,8346394624
6.3,50335744,4.1,120229888,30,32,29,1093705728,8346394624
5.4,50565120,3.3,120254464,34,34,33,1093816320,8346394624
2.4,50438144,1.7,120279040,11,12,11,1093775360,8346394624
0.096,50438144,0.35,120279040,3.5,3,4,1092886528,8346394624
0.012,50438144,0.37,120254464,4.3,4.6,4,1092636672,8346394624
0.011,50438144,0.36,120152064,5.5,6.8,4.2,1093214208,8346394624
0.011,50438144,0.33,120152064,4.3,4.6,4,1092272128,8346394624
0.011,50438144,0.35,120152064,3.5,3.2,3.8,1091719168,8346394624
1.4,50638848,1.1,120172544,7.9,8.2,7.6,1091878912,8346394624
6.1,50720768,3.3,120356864,29,30,28,1091964928,8346394624
8.5,51867648,4.6,120434688,46,47,44,1093050368,8346394624
9,50962432,4.5,120344576,40,41,39,1092415488,8346394624
8.5,50962432,4.8,120332288,46,47,45,1093169152,8346394624
9.9,50962432,5.7,120397824,51,52,50,1093029888,8346394624
10,50987008,5.6,120532992,39,39,38,1093115904,8346394624
8.7,50987008,4.2,120430592,45,46,45,1093947392,8346394624
11,47501312,4.8,120565760,52,53,50,1091751936,8346394624
9.7,47501312,5.3,120606720,39,41,37,1093738496,8346394624
8.6,47579136,4.6,120651776,45,46,44,1099333632,8346394624
9.3,46710784,4.5,120684544,50,52,47,1093545984,8346394624
8.4,46718976,4.6,120606720,38,38,37,1092505600,8346394624
8.9,46764032,5.7,120643584,45,46,45,1093021696,8346394624
9,46772224,5.2,120717312,47,48,47,1094963200,8346394624
8.6,46780416,4.3,120762368,40,41,39,1093357568,8346394624
9.3,46956544,5.2,120684544,45,47,44,1093914624,8346394624
9.3,47063040,4.7,120717312,48,50,46,1094864896,8346394624
8.2,47120384,4.5,120655872,37,38,37,1093804032,8346394624
7.8,47210496,5.1,120705024,44,47,42,1094426624,8346394624
11,47292416,6,120811520,50,52,49,1095024640,8346394624
11,47562752,6.2,120868864,46,48,45,1095368704,8346394624
11,47767552,5.6,120659968,46,47,44,1095704576,8346394624
11,48345088,5.7,120717312,49,51,48,1096912896,8346394624
9,48861184,5.2,120844288,43,43,43,1096314880,8346394624
7.9,49176576,4.9,120877056,43,44,42,1097105408,8346394624
7.2,49328128,4.3,120950784,43,45,41,1097678848,8346394624
8.7,49803264,3.7,120987648,45,46,43,1097715712,8346394624
11,50765824,4.6,120918016,44,44,43,1098948608,8346394624
7.6,50765824,3.5,120926208,38,40,37,1099931648,8346394624
1.8,50765824,1.1,120930304,3.7,3.8,3.6,1100533760,8346394624
0.016,50765824,0.41,120930304,4,4.4,3.6,1100734464,8346394624
0.019,50765824,0.41,121020416,4,4.4,3.6,1099714560,8346394624
0.0068,50765824,0.38,120930304,5.6,4.6,6.6,1099350016,8346394624
0.012,50765824,0.37,121020416,4,3.8,4.2,1098625024,8346394624
0.034,50765824,0.36,120938496,4.7,4.4,5,1099104256,8346394624
4,51093504,1.4,120832000,10,9.4,11,1097777152,8346394624
9.1,51150848,4.1,121163776,46,46,46,1100693504,8346394624
11,51937280,5.5,121090048,44,45,42,1101840384,8346394624
11,49647616,4.7,121126912,54,54,54,1099243520,8346394624
12,49647616,4.8,121143296,57,59,55,1099546624,8346394624
14,50581504,5.6,121323520,50,51,50,1099231232,8346394624
13,50651136,5.5,121315328,51,53,50,1101922304,8346394624
12,50700288,5.4,121368576,58,60,57,1102307328,8346394624
12,51384320,5.1,121360384,52,53,50,1103257600,8346394624
10,51376128,4.6,121274368,51,53,49,1104240640,8346394624
9.3,51433472,5.2,121487360,54,56,51,1105264640,8346394624
9.2,51433472,5.1,121532416,50,52,48,1107152896,8346394624
10,51646464,4.6,121655296,48,50,45,1107509248,8346394624
10,51646464,5.9,121597952,57,57,56,1108123648,8346394624
9,51646464,5.8,121765888,51,54,49,1108434944,8346394624
9.1,51699712,4.9,121946112,48,49,47,1108320256,8346394624
10,51871744,4.7,121815040,58,60,56,1110155264,8346394624
9.3,51929088,4.5,121856000,50,51,49,1108811776,8346394624
9.1,52412416,4.6,122056704,45,46,43,1109291008,8346394624
9.6,52342784,5,122114048,59,61,57,1109159936,8346394624
9.9,52682752,5.7,122257408,54,55,52,1109606400,8346394624
12,52912128,6.5,122343424,49,51,48,1110806528,8346394624
13,53030912,6.7,122376192,62,64,59,1111506944,8346394624
11,53092352,5.6,122429440,53,55,51,1120100352,8346394624
11,53137408,5,122830848,46,47,45,1120997376,8346394624
11,53211136,5.5,123076608,60,63,58,1123250176,8346394624
8.3,53211136,5.3,123138048,50,51,49,1117171712,8346394624
11,53514240,4.3,123179008,46,45,46,1116721152,8346394624
12,52928512,3.9,123113472,56,58,54,1116565504,8346394624
5.3,53092352,2.5,123121664,34,35,34,1117196288,8346394624
0.78,53092352,0.88,123224064,3.7,3.2,4.2,1116807168,8346394624
0.0087,53092352,0.38,123129856,4.3,3.8,4.8,1115611136,8346394624
0.013,53092352,0.43,123232256,3.7,4,3.4,1115480064,8346394624
0.012,53092352,0.37,123129856,6.2,7.4,5,1116164096,8346394624
0.017,53092352,0.37,123133952,3.7,3.4,4,1115140096,8346394624
0.012,53092352,0.64,123269120,5,5.4,4.6,1114984448,8346394624
4.1,52850688,1.8,123240448,11,12,11,1113739264,8346394624
9,53084160,4.2,123404288,51,54,48,1111715840,8346394624
9.9,53248000,5,123228160,62,65,59,1111941120,8346394624
13,51494912,5.3,123285504,70,73,67,1115172864,8346394624
14,51499008,5.5,123486208,59,61,57,1118740480,8346394624
11,51535872,5.4,123543552,61,62,59,1121107968,8346394624
12,51019776,5,123424768,68,70,67,1121091584,8346394624
13,47845376,5.2,123482112,57,60,54,1116905472,8346394624
11,48427008,6,123727872,57,59,56,1113997312,8346394624
9.8,48427008,4.6,123760640,66,69,63,1119690752,8346394624
8.6,48631808,4.6,123887616,57,58,55,1123074048,8346394624
9.2,48750592,4.8,123924480,56,58,54,1123422208,8346394624
11,48754688,4.6,123711488,67,69,64,1125400576,8346394624
11,48816128,4.8,123752448,62,63,61,1123987456,8346394624
9.3,48816128,6.3,123899904,54,55,52,1125384192,8346394624
9.3,48832512,6.2,124067840,68,70,66,1126633472,8346394624
11,48832512,4.9,124010496,62,64,61,1126879232,8346394624
11,48832512,5,123793408,54,56,52,1126207488,8346394624
9.2,48832512,4.9,123940864,70,72,68,1131917312,8346394624
9.2,48943104,4.7,124108800,62,63,60,1130463232,8346394624
11,49401856,6.2,124104704,55,57,54,1130283008,8346394624
13,49713152,6.8,124153856,71,73,70,1130848256,8346394624
11,50253824,6.3,124153856,67,71,64,1133166592,8346394624
12,49778688,6.1,124235776,56,58,54,1131823104,8346394624
13,50077696,5.6,124428288,67,70,64,1132371968,8346394624
8.3,50077696,6.2,124530688,61,62,59,1132105728,8346394624
6.9,50130944,5,124788736,47,49,45,1133002752,8346394624
8.8,50761728,4.2,124706816,66,68,64,1135366144,8346394624
7.5,50929664,3.8,124596224,59,59,58,1134923776,8346394624
3.1,50937856,2.1,124600320,29,30,28,1126457344,8346394624
