Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
6.3,40370176,40370176,2.5,80076800,80076800,15,17,12,827600896,827600896,827600896,8126898176,8126898176,8126898176
5.4,40620032,40620032,2.2,79982592,79982592,15,17,14,827850752,827850752,827850752,8126898176,8126898176,8126898176
5,41152512,41152512,2.5,80031744,80031744,15,15,15,827592704,827592704,827592704,8126898176,8126898176,8126898176
5.5,41402368,41402368,2.7,79949824,79949824,15,17,13,827592704,827592704,827592704,8126898176,8126898176,8126898176
5.4,41824256,41824256,2.2,79978496,79978496,14,14,14,827592704,827592704,827592704,8126898176,8126898176,8126898176
5.4,41336832,41336832,2.2,80035840,80035840,15,15,14,827592704,827592704,827592704,8126898176,8126898176,8126898176
6,41656320,41656320,2.4,80216064,80216064,14,17,12,828964864,828964864,828964864,8126898176,8126898176,8126898176
5.3,41803776,41803776,2.4,80138240,80138240,14,16,13,827838464,827838464,827838464,8126898176,8126898176,8126898176
4.7,41963520,41963520,2.4,80203776,80203776,13,13,13,827580416,827580416,827580416,8126898176,8126898176,8126898176
4.5,42151936,42151936,2.6,80101376,80101376,15,16,14,827580416,827580416,827580416,8126898176,8126898176,8126898176
5.2,42143744,42143744,2.7,80146432,80146432,14,15,13,827580416,827580416,827580416,8126898176,8126898176,8126898176
5.3,42160128,42160128,2.2,80056320,80056320,14,17,12,827838464,827838464,827838464,8126898176,8126898176,8126898176
4.3,42172416,42172416,2.3,80232448,80232448,13,13,12,827838464,827838464,827838464,8126898176,8126898176,8126898176
3.9,42393600,42393600,2.5,80277504,80277504,12,14,10,827830272,827830272,827830272,8126898176,8126898176,8126898176
2.3,42455040,42455040,1.6,80097280,80097280,6.1,6.8,5.4,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.57,42328064,42328064,0.51,80297984,80297984,4,4.2,3.8,827572224,827572224,827572224,8126898176,8126898176,8126898176
0.0075,42328064,42328064,0.22,80338944,80338944,3.1,3.4,2.8,827572224,827572224,827572224,8126898176,8126898176,8126898176
0.0062,42328064,42328064,0.21,80338944,80338944,3.6,3.6,3.6,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.0061,42328064,42328064,0.21,80338944,80338944,2.7,3,2.4,827568128,827568128,827568128,8126898176,8126898176,8126898176
0.0063,42328064,42328064,0.2,80338944,80338944,3.6,4.2,3,827801600,827801600,827801600,8126898176,8126898176,8126898176
0.048,42459136,42459136,0.31,80343040,80343040,3.5,4,3,827801600,827801600,827801600,8126898176,8126898176,8126898176
1.3,42348544,42348544,0.93,80609280,80609280,8.8,9.8,7.8,827801600,827801600,827801600,8126898176,8126898176,8126898176
2.3,43511808,43511808,1.3,80547840,80547840,9.6,8.6,11,827801600,827801600,827801600,8126898176,8126898176,8126898176
2.2,43827200,43827200,1.3,80568320,80568320,8.3,10,6.4,827543552,827543552,827543552,8126898176,8126898176,8126898176
2.5,44281856,44281856,1.3,80588800,80588800,8.3,9.2,7.4,827801600,827801600,827801600,8126898176,8126898176,8126898176
2.5,44441600,44441600,1.3,80609280,80609280,10,11,8.6,828911616,828911616,828911616,8126898176,8126898176,8126898176
2.4,44601344,44601344,1.7,80531456,80531456,9.3,8.5,10,827539456,827539456,827539456,8126898176,8126898176,8126898176
2.6,44814336,44814336,1.8,80551936,80551936,9.6,9.9,9.3,827797504,827797504,827797504,8126898176,8126898176,8126898176
2.7,44904448,44904448,1.4,80506880,80506880,8.7,10,7.4,827797504,827797504,827797504,8126898176,8126898176,8126898176
3.5,45109248,45109248,1.6,80666624,80666624,12,13,11,827539456,827539456,827539456,8126898176,8126898176,8126898176
3.6,45109248,45109248,1.6,80633856,80633856,10,12,8.6,827535360,827535360,827535360,8126898176,8126898176,8126898176
3.3,45109248,45109248,1.6,80785408,80785408,11,11,10,827510784,827510784,827510784,8126898176,8126898176,8126898176
3.3,45240320,45240320,1.8,80719872,80719872,10,9.6,11,827768832,827768832,827768832,8126898176,8126898176,8126898176
3.3,45301760,45301760,1.7,81055744,81055744,11,12,9.8,827764736,827764736,827764736,8126898176,8126898176,8126898176
3.4,45449216,45449216,1.6,81108992,81108992,9.2,10,8.2,827506688,827506688,827506688,8126898176,8126898176,8126898176
2.8,45547520,45547520,1.3,81125376,81125376,9.3,8.4,10,829136896,829136896,829136896,8126898176,8126898176,8126898176
2.4,45912064,45912064,1.3,81162240,81162240,8.9,10,7.8,827760640,827760640,827760640,8126898176,8126898176,8126898176
2.5,45846528,45846528,1.5,81055744,81055744,9.8,12,8,827740160,827740160,827740160,8126898176,8126898176,8126898176
3,45993984,45993984,1.5,80973824,80973824,8.6,9.2,8,827617280,827617280,827617280,8126898176,8126898176,8126898176
2.6,46010368,46010368,1.4,80990208,80990208,9,9.2,8.8,827604992,827604992,827604992,8126898176,8126898176,8126898176
1.5,46039040,46039040,1,80891904,80891904,5.2,5.8,4.6,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.54,46039040,46039040,0.52,80891904,80891904,3.6,3.6,3.6,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.0076,46039040,46039040,0.23,80896000,80896000,2.8,2.6,3,827830272,827830272,827830272,8126898176,8126898176,8126898176
0.48,36257792,36257792,0.24,80896000,80896000,4.5,4.8,4.2,827809792,827809792,827809792,8126898176,8126898176,8126898176
0.48,36196352,36196352,0.18,80896000,80896000,2.8,2.8,2.8,828407808,828407808,828407808,8126898176,8126898176,8126898176
0.011,36196352,36196352,0.25,81010688,81010688,3.6,4,3.2,827527168,827527168,827527168,8126898176,8126898176,8126898176
0.077,36196352,36196352,0.29,81068032,81068032,3.2,3.2,3.2,827785216,827785216,827785216,8126898176,8126898176,8126898176
2,37060608,37060608,0.75,81088512,81088512,11,9.4,12,827785216,827785216,827785216,8126898176,8126898176,8126898176
5.3,39481344,39481344,1.8,81068032,81068032,15,12,17,827817984,827817984,827817984,8126898176,8126898176,8126898176
5.8,40275968,40275968,2,81227776,81227776,16,14,18,827817984,827817984,827817984,8126898176,8126898176,8126898176
6.2,40509440,40509440,2.3,81379328,81379328,15,15,16,827817984,827817984,827817984,8126898176,8126898176,8126898176
6.8,40648704,40648704,3,81563648,81563648,18,16,19,827817984,827817984,827817984,8126898176,8126898176,8126898176
6.7,40992768,40992768,3.1,81637376,81637376,16,16,16,827551744,827551744,827551744,8126898176,8126898176,8126898176
5.9,41123840,41123840,2.4,81408000,81408000,17,17,16,827551744,827551744,827551744,8126898176,8126898176,8126898176
5.5,41263104,41263104,2.5,81690624,81690624,14,16,13,829165568,829165568,829165568,8126898176,8126898176,8126898176
5.9,41517056,41517056,2.8,81731584,81731584,15,15,15,827793408,827793408,827793408,8126898176,8126898176,8126898176
4.8,41607168,41607168,2.2,81883136,81883136,13,13,14,827793408,827793408,827793408,8126898176,8126898176,8126898176
4.1,41828352,41828352,2.4,81911808,81911808,15,15,14,827535360,827535360,827535360,8126898176,8126898176,8126898176
5.1,41971712,41971712,2.4,81817600,81817600,13,12,14,827789312,827789312,827789312,8126898176,8126898176,8126898176
5.5,42151936,42151936,2.1,81858560,81858560,14,15,13,827531264,827531264,827531264,8126898176,8126898176,8126898176
4.7,42479616,42479616,2.4,81985536,81985536,14,12,16,827531264,827531264,827531264,8126898176,8126898176,8126898176
4.3,42500096,42500096,2.4,82169856,82169856,14,13,14,827785216,827785216,827785216,8126898176,8126898176,8126898176
4.8,42889216,42889216,2.4,82038784,82038784,14,13,15,827785216,827785216,827785216,8126898176,8126898176,8126898176
4.9,43167744,43167744,2.5,82100224,82100224,15,15,14,828043264,828043264,828043264,8126898176,8126898176,8126898176
4.4,43757568,43757568,2.6,82292736,82292736,14,15,13,829157376,829157376,829157376,8126898176,8126898176,8126898176
4.3,43655168,43655168,2.5,82333696,82333696,13,15,11,827527168,827527168,827527168,8126898176,8126898176,8126898176
3.7,43663360,43663360,1.8,82452480,82452480,11,9.6,12,827785216,827785216,827785216,8126898176,8126898176,8126898176
2.2,43794432,43794432,1.2,82464768,82464768,5,4.8,5.2,827502592,827502592,827502592,8126898176,8126898176,8126898176
0.4,43675648,43675648,0.55,82432000,82432000,2.7,2.2,3.2,827502592,827502592,827502592,8126898176,8126898176,8126898176
0.0065,43675648,43675648,0.26,82546688,82546688,4.1,4.2,4,827760640,827760640,827760640,8126898176,8126898176,8126898176
0.0066,43675648,43675648,0.25,82460672,82460672,3.2,3.2,3.2,827502592,827502592,827502592,8126898176,8126898176,8126898176
0.0069,43675648,43675648,0.26,82567168,82567168,3.5,3.6,3.4,827727872,827727872,827727872,8126898176,8126898176,8126898176
0.0065,43675648,43675648,0.24,82460672,82460672,2.9,3,2.8,827723776,827723776,827723776,8126898176,8126898176,8126898176
0.21,43679744,43679744,0.3,82595840,82595840,5,4.6,5.4,828022784,828022784,828022784,8126898176,8126898176,8126898176
1.5,43847680,43847680,0.97,82489344,82489344,8.8,11,7,827715584,827715584,827715584,8126898176,8126898176,8126898176
2.8,44908544,44908544,1.7,82620416,82620416,10,12,8.2,827748352,827748352,827748352,8126898176,8126898176,8126898176
2.6,45363200,45363200,1.5,82731008,82731008,8.4,8.4,8.4,827490304,827490304,827490304,8126898176,8126898176,8126898176
2.5,45690880,45690880,1.2,82620416,82620416,10,11,8.8,827490304,827490304,827490304,8126898176,8126898176,8126898176
2.6,45887488,45887488,1.5,82444288,82444288,9.1,10,8.2,828264448,828264448,828264448,8126898176,8126898176,8126898176
2.6,46022656,46022656,1.7,82575360,82575360,9.7,9.4,10,828260352,828260352,828260352,8126898176,8126898176,8126898176
2.4,46194688,46194688,1.5,82591744,82591744,8,7.2,8.8,829292544,829292544,829292544,8126898176,8126898176,8126898176
2.3,46440448,46440448,1.3,82649088,82649088,9.8,9.6,10,828002304,828002304,828002304,8126898176,8126898176,8126898176
3.5,46653440,46653440,1.7,82702336,82702336,12,11,12,828002304,828002304,828002304,8126898176,8126898176,8126898176
3.7,46669824,46669824,1.8,82829312,82829312,10,9.8,10,828600320,828600320,828600320,8126898176,8126898176,8126898176
2.7,46698496,46698496,1.5,82931712,82931712,9.1,10,8.2,828260352,828260352,828260352,8126898176,8126898176,8126898176
2.9,46755840,46755840,1.4,82956288,82956288,9.9,11,9.2,827994112,827994112,827994112,8126898176,8126898176,8126898176
3,46772224,46772224,1.7,82747392,82747392,9.5,10,8.8,827994112,827994112,827994112,8126898176,8126898176,8126898176
2.5,46886912,46886912,1.7,82771968,82771968,9.9,11,9.2,827994112,827994112,827994112,8126898176,8126898176,8126898176
2.7,46899200,46899200,1.5,82919424,82919424,9,9.4,8.6,827994112,827994112,827994112,8126898176,8126898176,8126898176
3,46919680,46919680,1.5,82833408,82833408,9.2,9.2,9.2,827994112,827994112,827994112,8126898176,8126898176,8126898176
2.5,46956544,46956544,1.2,82976768,82976768,9.1,9.2,9,827990016,827990016,827990016,8126898176,8126898176,8126898176
2.2,46956544,46956544,1.4,82841600,82841600,9,8.4,9.6,828231680,828231680,828231680,8126898176,8126898176,8126898176
2.4,46997504,46997504,1.4,82759680,82759680,7.4,7.6,7.2,827973632,827973632,827973632,8126898176,8126898176,8126898176
1.5,46997504,46997504,0.82,82878464,82878464,5.2,5.8,4.6,829345792,829345792,829345792,8126898176,8126898176,8126898176
0.29,46997504,46997504,0.44,82743296,82743296,3.2,3,3.4,827973632,827973632,827973632,8126898176,8126898176,8126898176
0.003,46997504,46997504,0.21,82743296,82743296,3.3,3,3.6,827973632,827973632,827973632,8126898176,8126898176,8126898176
0.0062,46997504,46997504,0.19,82743296,82743296,2.9,2.6,3.2,827973632,827973632,827973632,8126898176,8126898176,8126898176
0.0095,46997504,46997504,0.2,82743296,82743296,3.6,3.6,3.6,828223488,828223488,828223488,8126898176,8126898176,8126898176
0.0062,46997504,46997504,0.24,82743296,82743296,2.9,2.6,3.2,827965440,827965440,827965440,8126898176,8126898176,8126898176
0.0063,46997504,46997504,0.36,82751488,82751488,4.9,4.8,5,828223488,828223488,828223488,8126898176,8126898176,8126898176
1.9,47222784,47222784,0.8,82898944,82898944,10,10,10,827965440,827965440,827965440,8126898176,8126898176,8126898176
4.1,47775744,47775744,2.1,83030016,83030016,15,16,13,827965440,827965440,827965440,8126898176,8126898176,8126898176
4.6,47943680,47943680,2.4,82935808,82935808,15,16,13,827961344,827961344,827961344,8126898176,8126898176,8126898176
4.7,48087040,48087040,2.1,82984960,82984960,14,16,12,828538880,828538880,828538880,8126898176,8126898176,8126898176
5.7,48107520,48107520,2.4,83230720,83230720,14,14,15,827940864,827940864,827940864,8126898176,8126898176,8126898176
5.8,48156672,48156672,3,83181568,83181568,16,17,14,827912192,827912192,827912192,8126898176,8126898176,8126898176
5,42143744,42143744,2.9,83345408,83345408,14,15,14,827912192,827912192,827912192,8126898176,8126898176,8126898176
5.1,42708992,42708992,2,83382272,83382272,15,15,14,827912192,827912192,827912192,8126898176,8126898176,8126898176
5.1,42737664,42737664,2.3,83484672,83484672,13,13,14,828170240,828170240,828170240,8126898176,8126898176,8126898176
4.8,42766336,42766336,2.5,83525632,83525632,13,13,14,827912192,827912192,827912192,8126898176,8126898176,8126898176
4.5,42934272,42934272,2.4,83574784,83574784,13,13,13,827912192,827912192,827912192,8126898176,8126898176,8126898176
5.1,43167744,43167744,2.4,83615744,83615744,15,13,17,827912192,827912192,827912192,8126898176,8126898176,8126898176
5.1,43433984,43433984,2.6,83656704,83656704,13,13,14,828420096,828420096,828420096,8126898176,8126898176,8126898176
4.2,43544576,43544576,2.5,83570688,83570688,14,15,13,828420096,828420096,828420096,8126898176,8126898176,8126898176
4.6,44023808,44023808,2.3,83701760,83701760,13,13,13,828153856,828153856,828153856,8126898176,8126898176,8126898176
4.7,44273664,44273664,2.3,83750912,83750912,14,14,13,827879424,827879424,827879424,8126898176,8126898176,8126898176
4.5,44605440,44605440,2.6,84086784,84086784,13,12,14,827875328,827875328,827875328,8126898176,8126898176,8126898176
4.8,44691456,44691456,2.5,83906560,83906560,14,15,12,828133376,828133376,828133376,8126898176,8126898176,8126898176
4.1,44830720,44830720,2.3,84021248,84021248,12,11,13,828133376,828133376,828133376,8126898176,8126898176,8126898176
3.2,45084672,45084672,2,84049920,84049920,10,9,11,828133376,828133376,828133376,8126898176,8126898176,8126898176
1.7,45092864,45092864,0.88,84250624,84250624,3.5,3.8,3.2,828133376,828133376,828133376,8126898176,8126898176,8126898176
0.2,44965888,44965888,0.28,84127744,84127744,3.6,4,3.2,827867136,827867136,827867136,8126898176,8126898176,8126898176
0.0063,44965888,44965888,0.22,84164608,84164608,2.9,3.4,2.4,829497344,829497344,829497344,8126898176,8126898176,8126898176
0.0082,44965888,44965888,0.23,84164608,84164608,3.6,4,3.2,829157376,829157376,829157376,8126898176,8126898176,8126898176
0.0077,44965888,44965888,0.21,84164608,84164608,3.1,3.6,2.6,827867136,827867136,827867136,8126898176,8126898176,8126898176
0.0067,44965888,44965888,0.19,84164608,84164608,3.7,3.8,3.6,828125184,828125184,828125184,8126898176,8126898176,8126898176
0.72,40640512,40640512,0.36,84312064,84312064,6.2,6.4,6,828141568,828141568,828141568,8126898176,8126898176,8126898176
2.5,41021440,41021440,1.2,84217856,84217856,10,12,9.2,828104704,828104704,828104704,8126898176,8126898176,8126898176
3.4,40996864,40996864,1.4,84234240,84234240,9.3,8.8,9.8,828878848,828878848,828878848,8126898176,8126898176,8126898176
3.4,41037824,41037824,1.2,84283392,84283392,10,10,9.6,828104704,828104704,828104704,8126898176,8126898176,8126898176
3.3,41209856,41209856,1.5,84320256,84320256,9.4,8.6,10,828104704,828104704,828104704,8126898176,8126898176,8126898176
