Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
0.0085,33439744,33439744,0.21,190689280,190689280,3.7,3.4,4,829317120,829317120,829317120,8126898176,8126898176,8126898176
0.013,33439744,33439744,0.2,190799872,190799872,2.7,2.4,3,828801024,828801024,828801024,8126898176,8126898176,8126898176
0.0091,33439744,33439744,0.22,190689280,190689280,3.6,3.4,3.8,828542976,828542976,828542976,8126898176,8126898176,8126898176
0.0048,33439744,33439744,0.2,190799872,190799872,2.9,2.8,3,828542976,828542976,828542976,8126898176,8126898176,8126898176
0.0097,33439744,33439744,0.22,190689280,190689280,3.8,3.4,4.2,828542976,828542976,828542976,8126898176,8126898176,8126898176
0.0097,33439744,33439744,0.22,190799872,190799872,2.7,2.6,2.8,829833216,829833216,829833216,8126898176,8126898176,8126898176
0.016,33439744,33439744,0.18,190689280,190689280,3.7,3.6,3.8,828542976,828542976,828542976,8126898176,8126898176,8126898176
0.016,33439744,33439744,0.18,190799872,190799872,3,3.4,2.6,828801024,828801024,828801024,8126898176,8126898176,8126898176
0.041,33570816,33570816,0.22,190689280,190689280,3.6,3.4,3.8,828796928,828796928,828796928,8126898176,8126898176,8126898176
0.045,33452032,33452032,0.23,190787584,190787584,2.9,2.8,3,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.0082,33452032,33452032,0.2,190693376,190693376,3.6,3.6,3.6,829050880,829050880,829050880,8126898176,8126898176,8126898176
0.0082,33452032,33452032,0.2,190803968,190803968,3,2.8,3.2,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.0083,33452032,33452032,0.19,190693376,190693376,3.4,3.4,3.4,829050880,829050880,829050880,8126898176,8126898176,8126898176
0.0084,33452032,33452032,0.19,190803968,190803968,2.7,2.8,2.6,828792832,828792832,828792832,8126898176,8126898176,8126898176
0.009,33452032,33452032,0.22,190693376,190693376,3.3,3.4,3.2,828792832,828792832,828792832,8126898176,8126898176,8126898176
6.9,39100416,39100416,1.3,190803968,190803968,22,24,20,828534784,828534784,828534784,8126898176,8126898176,8126898176
17,42405888,42405888,5.1,190693376,190693376,48,52,44,828567552,828567552,828567552,8126898176,8126898176,8126898176
22,44343296,44343296,7.8,190803968,190803968,45,47,42,828596224,828596224,828596224,8126898176,8126898176,8126898176
22,49004544,49004544,7.2,190693376,190693376,42,41,44,828825600,828825600,828825600,8126898176,8126898176,8126898176
18,49967104,49967104,8.4,190803968,190803968,41,43,39,828825600,828825600,828825600,8126898176,8126898176,8126898176
18,50688000,50688000,9.4,190693376,190693376,46,47,45,828563456,828563456,828563456,8126898176,8126898176,8126898176
18,52002816,52002816,8.4,190930944,190930944,43,43,43,828563456,828563456,828563456,8126898176,8126898176,8126898176
17,48783360,48783360,7.4,190693376,190693376,36,38,34,828563456,828563456,828563456,8126898176,8126898176,8126898176
15,48803840,48803840,7.2,190803968,190803968,36,34,39,828821504,828821504,828821504,8126898176,8126898176,8126898176
