NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
2000,0.05,154.3,2.4,7.695238095,44711936,3.944285714,162939465.1,21.2,22,20.25714286,828142933.3,8126898176
1333,0.075,108.2,2.3,5.7645,44711936,3.025,162526208,16.685,16.95,16.62,828096716.8,8126898176
2000,0.05,154.3,2.4,7.738095238,44711936,3.919047619,163222089.1,21.23809524,22.27619048,20.05714286,828073106.3,8126898176
1333,0.075,108.2,2.4,5.852661905,44711936,2.927619048,163371495.6,16.41428571,17.41904762,15.45714286,828092611,8126898176
2000,0.05,154.3,2.4,7.76047619,44711936,3.964761905,163298937.9,21.29047619,21.6,20.93333333,827883910.1,8126898176
1333,0.075,108.2,2.3,5.515,44711936,2.9945,162860646.4,16.37,17.18,15.71,827926528,8126898176
2000,0.05,154.3,2.4,7.671428571,44711936,4.057142857,162948632.4,21.25238095,22.01904762,20.2952381,827898538.7,8126898176
1333,0.075,108.2,2.4,5.925315,44711936,2.91,163058483.2,16.82,17.28,16.36,827955404.8,8126898176
2000,0.05,154.3,2.4,7.33665,44711936,3.793636364,163086894.5,20.4,21.38181818,19.41818182,828108986.2,8126898176
1333,0.075,108.2,2.2,5.4,44711936,2.957,162736947.2,16.21,16.42,15.96,828030566.4,8126898176
2000,0.05,154.3,2.4,7.828571429,44711936,4.028571429,163144265.1,21.54285714,21.21904762,21.77142857,827872207.2,8126898176
1333,0.075,108.2,2.3,5.509,44711936,3.023,163280486.4,16.47,16.59,16.1,827765760,8126898176
2000,0.05,154.3,2.4,7.604761905,44711936,3.983333333,163312786.3,20.92857143,21.42857143,20.47619048,828340126.5,8126898176
1333,0.075,108.2,2.3,5.635,44711936,2.9725,163144704,16.35,16.69,15.87,828505497.6,8126898176
2000,0.05,154.3,2.4,7.731363636,44711936,3.855454545,163271586.9,20.79090909,21.82727273,19.57272727,828074170.2,8126898176
1333,0.075,108.2,2.4,5.9485,44711936,3.0635,163457433.6,16.875,17.21,16.44,828017049.6,8126898176
2000,0.05,154.3,2.4,7.985714286,44711936,4.061904762,163524608,21.53809524,22.45714286,20.52380952,828021418.7,8126898176
1333,0.075,108.2,2.3,5.425,44711936,3.0325,162885632,16.09,16.54,15.81,827843379.2,8126898176
2000,0.05,154.3,2.5,8.238095238,44711936,3.93952381,161834715.4,22.01428571,22.7047619,21.27619048,827893272.4,8126898176
1333,0.075,108.2,2.3,5.5455,44711936,2.94,162120089.6,16.46,17.32,15.69,827954176,8126898176
2000,0.05,154.3,2.4,7.468468182,44711936,3.824090909,162167342.5,20.82727273,21.31818182,20.06363636,827898228.4,8126898176
1333,0.075,108.2,2.3,5.565,44711936,3.027,161723801.6,16.315,17.52,15.19,828133580.8,8126898176
2000,0.05,154.3,2.5,8.124761905,44711936,4.022380952,161409706.7,21.88571429,21.60952381,22.11428571,827903609.9,8126898176
1333,0.075,108.2,2.2,5.48,44711936,2.988,161468825.6,16.38,16.69,16.12,827968921.6,8126898176
2000,0.05,154.3,2.4,7.623059091,44711936,3.843181818,161500066.9,20.55909091,21.18181818,20.3,827869184,8126898176
1333,0.075,108.2,2.3,5.009404545,44711936,2.745,161535069.1,15.26818182,15.48181818,14.87272727,827879051.6,8126898176
2000,0.05,154.3,2.5,8.295238095,44711936,4.175714286,161465685.3,22.2047619,22.21904762,22.0952381,827888396.2,8126898176
1333,0.075,108.2,2.3,5.613,44711936,3.161,161940684.8,16.72,16.9,16.44,828121907.2,8126898176
2000,0.05,154.3,2.3,7.666666667,44711936,4.119047619,166762203.4,21.13333333,21.17142857,21.14285714,828145273.9,8126898176
1333,0.075,108.2,2.3,5.5855,44711936,2.9745,170306150.4,16.495,17.07,16.02,828008652.8,8126898176
2000,0.05,154.3,2.4,7.78,44711936,4.023809524,170903649.5,21.48571429,23.17142857,19.65714286,828171800.4,8126898176
1333,0.075,108.2,2.3,5.265238095,44711936,2.927619048,171199536.8,15.82857143,16.43809524,15.36190476,828105679.2,8126898176
2000,0.05,154.3,2.3,7.728571429,44711936,4.066666667,172060281.9,21.11428571,22.84761905,19.33333333,827888201.1,8126898176
1333,0.075,108.2,2.3,5.393,44711936,2.9815,173230489.6,16.205,17.18,15.23,827940249.6,8126898176
2000,0.05,154.3,2.4,7.966666667,44711936,3.99952381,175075523,21.57619048,21.28571429,21.71428571,828566186.7,8126898176
1333,0.075,108.2,2.2,5.465,44711936,2.915,176442163.2,16.025,15.87,15.87,828200550.4,8126898176
