Acme Web CPU Usage,Acme Web Memory Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Usage,Host Mem Usage,Host Mem Total,Host Mem Total,Host Mem Total
5.9,44711936,44711936,3.2,80379904,80379904,15,17,12,828280832,828280832,828280832,8126898176,8126898176,8126898176
3.2,44711936,44711936,1.7,80318464,80318464,6.8,6.6,7,828272640,828272640,828272640,8126898176,8126898176,8126898176
0.75,44711936,44711936,0.49,80318464,80318464,2.8,2.4,3.2,828014592,828014592,828014592,8126898176,8126898176,8126898176
0.007,44711936,44711936,0.22,80318464,80318464,3.7,4,3.4,828272640,828272640,828272640,8126898176,8126898176,8126898176
0.0065,44711936,44711936,0.21,80318464,80318464,2.8,3,2.6,828788736,828788736,828788736,8126898176,8126898176,8126898176
0.0071,44711936,44711936,0.18,80416768,80416768,4,3.8,4.2,829046784,829046784,829046784,8126898176,8126898176,8126898176
0.0066,44711936,44711936,0.25,80560128,80560128,3.1,3.2,3,828522496,828522496,828522496,8126898176,8126898176,8126898176
0.54,44711936,44711936,0.48,80347136,80347136,5.6,5.4,5.8,828026880,828026880,828026880,8126898176,8126898176,8126898176
2.7,44711936,44711936,1.8,80412672,80412672,15,13,16,828026880,828026880,828026880,8126898176,8126898176,8126898176
6.3,44711936,44711936,3.6,80375808,80375808,24,21,26,828284928,828284928,828284928,8126898176,8126898176,8126898176
9.6,44711936,44711936,3.9,80322560,80322560,24,24,24,828284928,828284928,828284928,8126898176,8126898176,8126898176
10,44711936,44711936,4.2,80437248,80437248,25,26,23,828284928,828284928,828284928,8126898176,8126898176,8126898176
8.1,44711936,44711936,4.6,80404480,80404480,21,22,21,828026880,828026880,828026880,8126898176,8126898176,8126898176
7.2,44711936,44711936,3.9,80625664,80625664,22,22,22,828018688,828018688,828018688,8126898176,8126898176,8126898176
8.5,44711936,44711936,4,80773120,80773120,22,23,22,828276736,828276736,828276736,8126898176,8126898176,8126898176
9.1,44711936,44711936,4.1,81182720,81182720,23,23,23,828276736,828276736,828276736,8126898176,8126898176,8126898176
8.6,44711936,44711936,3.9,81231872,81231872,22,25,18,828276736,828276736,828276736,8126898176,8126898176,8126898176
7.6,44711936,44711936,4.5,81391616,81391616,23,23,23,828018688,828018688,828018688,8126898176,8126898176,8126898176
9.7,44711936,44711936,4.4,81408000,81408000,26,28,24,828276736,828276736,828276736,8126898176,8126898176,8126898176
11,44711936,44711936,5,81747968,81747968,26,24,28,828260352,828260352,828260352,8126898176,8126898176,8126898176
8.9,44711936,44711936,5.2,81842176,81842176,21,25,18,828002304,828002304,828002304,8126898176,8126898176,8126898176
7.3,44711936,44711936,3.7,82132992,82132992,20,20,20,828260352,828260352,828260352,8126898176,8126898176,8126898176
7.9,44711936,44711936,3.3,82202624,82202624,21,19,22,828260352,828260352,828260352,8126898176,8126898176,8126898176
7.5,44711936,44711936,3.6,82264064,82264064,22,23,21,828002304,828002304,828002304,8126898176,8126898176,8126898176
6.6,44711936,44711936,4.1,82276352,82276352,20,22,19,828260352,828260352,828260352,8126898176,8126898176,8126898176
8.9,44711936,44711936,4,82567168,82567168,23,25,21,828260352,828260352,828260352,8126898176,8126898176,8126898176
8.7,44711936,44711936,4.4,82415616,82415616,21,21,21,828260352,828260352,828260352,8126898176,8126898176,8126898176
6.5,44711936,44711936,3.6,82591744,82591744,15,14,16,828260352,828260352,828260352,8126898176,8126898176,8126898176
3.1,44711936,44711936,1.4,82612224,82612224,4.6,4.8,4.4,828260352,828260352,828260352,8126898176,8126898176,8126898176
0.28,44711936,44711936,0.51,82591744,82591744,4.1,3.8,4.4,828002304,828002304,828002304,8126898176,8126898176,8126898176
0.0072,44711936,44711936,0.27,82673664,82673664,3.3,3.4,3.2,828256256,828256256,828256256,8126898176,8126898176,8126898176
0.007,44711936,44711936,0.23,82714624,82714624,3.6,3.6,3.6,828256256,828256256,828256256,8126898176,8126898176,8126898176
0.0077,44711936,44711936,0.18,82608128,82608128,2.6,2.8,2.4,828256256,828256256,828256256,8126898176,8126898176,8126898176
