NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,Acme Web Memory Usage,MongoDB CPU Usage,MongoDB Memory Usage,Avg Host CPU Usage,Host CPU 0 Usage,Host CPU 1 Usage,Host Mem Usage,Host Mem Total
500,0.2,39.5,2.5,2.41,46850867.2,1.4905,126810521.6,9.05,9.41,8.69,827807539.2,8126898176
1000,0.1,77.9,2.4,4.95,42396467.2,2.37,127104819.2,14.2,14.55,13.65,827780915.2,8126898176
500,0.2,39.5,2.5,2.3225,46697676.8,1.4505,127077785.6,8.975,9.36,8.67,827857100.8,8126898176
1000,0.1,77.9,2.4,4.581428571,45133238.86,2.30047619,127395157.3,13.61428571,13.87619048,13.3047619,827941839.2,8126898176
500,0.2,39.5,2.5,2.3355,47105024,1.434,127459737.6,8.95,8.98,8.91,827911168,8126898176
1000,0.1,77.9,2.4,4.728571429,42885315.05,2.288095238,127521158.1,13.7,13.97142857,13.23809524,827950421.3,8126898176
500,0.2,39.5,2.8,2.7065,46731468.8,1.607,127590809.6,9.715,9.85,9.59,828582707.2,8126898176
1000,0.1,77.9,2.6,4.685714286,44166972.95,2.601904762,127613220.6,14.1952381,14.08571429,14.3047619,828020248.4,8126898176
500,0.2,39.5,2.8,2.685,47433932.8,1.63,127616409.6,9.645,10.02,9.28,827825152,8126898176
1000,0.1,77.9,2.4,4.639047619,42911646.48,2.226666667,127374677.3,13.54285714,14.14285714,12.84761905,827853092.6,8126898176
500,0.2,39.5,2.4,2.335,47190220.8,1.3995,127569920,8.815,9.29,8.39,827885772.8,8126898176
1000,0.1,77.9,2.4,4.64,44431564.8,2.475,128262348.8,14.15,14.4,13.85,827845632,8126898176
500,0.2,39.5,2.6,2.5755,47290572.8,1.5125,129480908.8,9.44,9.38,9.41,827922636.8,8126898176
1000,0.1,77.9,2.3,4.172857143,44132059.43,2.211428571,130357345.5,13.05238095,13.64761905,12.35238095,827923114.7,8126898176
500,0.2,39.5,2.3,2.267,47041945.6,1.3815,131206348.8,8.715,9.01,8.54,827845632,8126898176
1000,0.1,77.9,2.4,4.656190476,43138876.95,2.238571429,132455667.8,13.33333333,14.21904762,12.59047619,827825590.9,8126898176
500,0.2,39.5,2.3,2.334,46891212.8,1.4575,134298419.2,8.785,8.81,8.74,827766374.4,8126898176
1000,0.1,77.9,2.4,4.746666667,43043108.57,2.297142857,135411029.3,13.83333333,13.8,13.81904762,827743670.9,8126898176
500,0.2,39.5,2.3,2.325,47075532.8,1.457,136023859.2,8.865,8.9,8.78,827716198.4,8126898176
1000,0.1,77.9,2.3,4.162190476,44832670.48,2.293809524,136508172.2,13.1952381,13.35238095,12.82857143,827791652.6,8126898176
500,0.2,39.5,2.3,2.331578947,47139570.53,1.425789474,137420368.8,8.947368421,9.442105263,8.484210526,827841050.9,8126898176
1000,0.1,77.9,2.4,4.675,45151436.8,2.374,138247372.8,13.89,14.35,13.25,827734630.4,8126898176
500,0.2,39.5,2.6,2.973,40386560,1.419,139090739.2,9.52,9.8,9.19,827873280,8126898176
1000,0.1,77.9,2.3,4.303809524,45315803.43,2.251904762,139870988.2,13.12857143,13.47619048,12.53333333,828171215.2,8126898176
500,0.2,39.5,2.4,2.35,47605145.6,1.4495,141381836.8,8.885,9.37,8.42,827997388.8,8126898176
1000,0.1,77.9,2.2,4.057619048,44496408.38,2.209047619,142016121.9,12.82380952,13.32380952,12.37142857,827919408.8,8126898176
500,0.2,39.5,2.5,2.315,47105024,1.486,142621286.4,8.965,9.26,8.66,827927347.2,8126898176
1000,0.1,77.9,2.4,4.838095238,43794236.95,2.321428571,142991360,13.84285714,14.25714286,13.32380952,827923309.7,8126898176
500,0.2,39.5,2.6,2.462380952,47672173.71,1.47,143155200,9.061904762,9.085714286,9.019047619,827875913.1,8126898176
1000,0.1,77.9,2.3,4.304285714,45789769.14,2.268571429,143259745.5,13.25714286,14.0952381,12.56190476,830696886.9,8126898176
500,0.2,39.5,2.3,2.326315789,47747934.32,1.452105263,143455932.6,8.984210526,9.347368421,8.663157895,828071504.8,8126898176
1000,0.1,77.9,2.3,4.088095238,45498172.95,2.292857143,144218209.5,13.13809524,13.37142857,12.9047619,828096512,8126898176
500,0.2,39.5,2.3,2.2855,47651020.8,1.4535,145653760,8.87,9.17,8.55,827736678.4,8126898176
1000,0.1,77.9,2.4,4.515714286,46356577.52,2.33,146576335.2,13.56666667,13.73333333,13.20952381,828053796.6,8126898176
500,0.2,39.5,2.4,2.4155,48273203.2,1.475,147641344,8.985,9.06,8.94,828023193.6,8126898176
1000,0.1,77.9,2.4,4.328040909,45962519.27,2.178181818,148778635.6,13.00909091,13.20909091,12.9,828007889.5,8126898176
500,0.2,39.5,2.5,2.58,48714547.2,1.434,149185536,9.115,9.54,8.6,828021964.8,8126898176
1000,0.1,77.9,2.3,4.39,46296678.4,2.3695,150078464,13.695,13.75,13.44,827886387.2,8126898176
500,0.2,39.5,2.5,2.468421053,47826189.47,1.502105263,151106829.5,9.210526316,9.073684211,9.263157895,827976865.7,8126898176
1000,0.1,77.9,2.3,4.515,45360742.4,2.37,152079974.4,13.875,14.5,13.04,827953356.8,8126898176
500,0.2,39.5,2.3,2.321,47629926.4,1.38,153135923.2,8.81,9.23,8.42,827975884.8,8126898176
1000,0.1,77.9,2.3,4.273809524,45961411.05,2.248571429,154242681.9,13.25714286,13.8952381,12.61904762,828264057.9,8126898176
500,0.2,39.5,2.5,2.4195,48000819.2,1.448,154891059.2,9.005,9.06,8.96,828704972.8,8126898176
1000,0.1,77.9,2.3,4.242380952,46435571.81,2.345238095,155798186.7,13.22857143,13.42857143,13.07619048,827939108.6,8126898176
500,0.2,39.5,2.5,2.3585,48346726.4,1.51,156884582.4,9.07,9.27,8.83,827999641.6,8126898176
1000,0.1,77.9,2.3,4.362380952,46782756.57,2.281428571,158127055.2,13.47142857,13.78095238,12.98095238,828126744.4,8126898176
500,0.2,39.5,2.5,2.38,48305561.6,1.488,159401779.2,8.915,9.13,8.72,828133171.2,8126898176
1000,0.1,77.9,2.3,4.24,46317772.8,2.351,160044032,13.535,14.84,11.98,827884544,8126898176
500,0.2,39.5,2.4,2.610526316,48301972.21,1.498947368,160939600.8,9.310526316,9.452631579,9.263157895,827853985.7,8126898176
1000,0.1,77.9,2.3,4.415,46064230.4,2.445,161925324.8,13.645,14.53,12.71,827957657.6,8126898176
500,0.2,39.5,2.5,2.442105263,48605722.95,1.498947368,162144040.4,9.131578947,9.715789474,8.589473684,828056845.5,8126898176
1000,0.1,77.9,2.4,4.95,45929267.2,2.41,162445926.4,14.255,15,13.5,828061491.2,8126898176
500,0.2,39.5,2.5,2.4425,48074547.2,1.4485,162558771.2,9.11,9.23,8.96,828107161.6,8126898176
1000,0.1,77.9,2.4,4.31952381,46484333.71,2.403333333,162695070.5,13.35714286,14.0952381,12.73333333,828148004.6,8126898176
500,0.2,39.5,2.5,2.366,48143155.2,1.547,162712166.4,9.18,9.22,9.18,828109004.8,8126898176
1000,0.1,77.9,2.4,4.429047619,46017194.67,2.423809524,162567704.4,13.64761905,13.62857143,13.42857143,828154831.2,8126898176
500,0.2,39.5,2.6,2.5975,47526297.6,1.5065,162208358.4,9.215,9.36,9.03,827832524.8,8126898176
1000,0.1,77.9,2.4,4.395238095,46586343.62,2.393333333,162539032.4,13.51904762,13.79047619,13.04761905,827893272.4,8126898176
500,0.2,39.5,2.5,2.47,47781068.8,1.5235,162813542.4,9.065,9.72,8.48,827775590.4,8126898176
1000,0.1,77.9,2.4,4.775,45622886.4,2.4125,162971852.8,13.97,14.58,13.35,827852185.6,8126898176
500,0.2,39.5,2.5,2.4645,48573849.6,1.5335,163028787.2,9.22,9.69,8.78,827935334.4,8126898176
1000,0.1,77.9,2.4,4.533809524,46253592.38,2.362857143,163101354.7,13.7952381,14.73333333,12.41904762,827982214.1,8126898176
500,0.2,39.5,2.5,2.207536364,48357003.64,1.442272727,163093597.1,8.75,8.672727273,8.781818182,827877934.5,8126898176
1000,0.1,77.9,2.4,4.49,46920265.14,2.445714286,162919570.3,13.61428571,14.4,13.06666667,827936573,8126898176
500,0.2,39.5,2.4,2.47,48336691.2,1.498,162520064,9.1,9.52,8.74,828032614.4,8126898176
1000,0.1,77.9,2.3,4.33047619,47174217.14,2.375238095,162549565,13.34285714,13.47619048,13.11428571,828129865.1,8126898176
500,0.2,39.5,2.3,2.235385,48118169.6,1.44,162716672,8.81,9.06,8.63,828048179.2,8126898176
1000,0.1,77.9,2.4,4.054859091,46572078.55,2.321363636,162832570.2,12.91818182,13.37272727,12.41818182,828082176,8126898176
500,0.2,39.5,2.4,2.378947368,48012880.84,1.530526316,163007649.7,9.147368421,9.210526316,9.157894737,827955307.8,8126898176
1000,0.1,77.9,2.3,4.43,47415910.4,2.445,163073024,13.73,13.72,13.64,827999436.8,8126898176
500,0.2,39.5,2.6,2.5215,48742400,1.5505,163086745.6,9.355,9.64,9.14,827932876.8,8126898176
1000,0.1,77.9,2.3,4.300180952,46405924.57,2.305238095,162956434.3,13.33809524,13.20952381,13.37142857,827872207.2,8126898176
500,0.2,39.5,2.8,2.901428571,45203846.1,1.458095238,162591305.1,9.49047619,10.15238095,8.895238095,828852321.5,8126898176
1000,0.1,77.9,2.5,4.866666667,43830320.76,2.418095238,162585648.8,13.96666667,14.85714286,13.12380952,828013031.6,8126898176
500,0.2,39.5,2.5,2.394,47588966.4,1.518,162687180.8,9.015,9.42,8.71,827998617.6,8126898176
1000,0.1,77.9,2.3,4.114285714,45458383.24,2.377619048,162929322.7,13.23809524,13.57142857,12.85714286,827909071.2,8126898176
500,0.2,39.5,2.3,2.145857143,47448454.1,1.434761905,162937904.8,8.538095238,8.914285714,8.228571429,828028050.3,8126898176
1000,0.1,77.9,2.4,4.73,43565251.05,2.300952381,163019629.7,13.75714286,14.5047619,13.01904762,827971486.5,8126898176
500,0.2,39.5,2.5,2.3475,48181043.2,1.5085,163004416,9.095,9.59,8.6,828033228.8,8126898176
1000,0.1,77.9,2.3,4.42,45683916.8,2.4845,162853273.6,13.765,13.97,13.31,827863040,8126898176
500,0.2,39.5,2.7,2.687,47757516.8,1.5515,162746777.6,9.485,9.57,9.32,828000460.8,8126898176
1000,0.1,77.9,2.5,4.63827619,44996315.43,2.523809524,162681807.2,14.1047619,14.87619048,13.38095238,828045604.6,8126898176
500,0.2,39.5,2.6,2.287485714,47540906.67,1.520952381,162893433.9,8.980952381,9.533333333,8.476190476,828044044.2,8126898176
1000,0.1,77.9,2.5,4.428363636,46037178.18,2.459545455,163174586.2,13.65,13.55454545,13.65454545,828112896,8126898176
500,0.2,39.5,2.6,2.585,48897638.4,1.559,163456614.4,9.34,9.72,8.89,827924275.2,8126898176
1000,0.1,77.9,2.4,4.776190476,43873036.19,2.385238095,163482087.6,13.87619048,14,13.6952381,828023369.1,8126898176
500,0.2,39.5,2.5,2.3705,47637299.2,1.548,163479552,9.135,9.27,9.02,828245196.8,8126898176
