CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
61,76,1000,0.1,77.9,2.3,8.076190476,3.359047619,37.48095238,31.48571429,43.47619048,40.76190476,27.95238095,53.8,117479326.5,43364352,767096539.4,8346394624,767096539.4,8126898176
0,0,500,0.2,39.5,2,4.126315789,2.121052632,5.963157895,5.863157895,6.063157895,3.815789474,3.747368421,3.884210526,119036011.8,44423491.37,764970900.2,8346394624,764970900.2,8126898176
5,6,500,0.2,39.5,2.1,3.951428571,2.004761905,8.247619048,9.580952381,6.838095238,6.685714286,6.695238095,6.647619048,119477589.3,44856271.24,767877900.2,8346394624,767877900.2,8126898176
9,11,500,0.2,39.5,2.2,4.40952381,2.00952381,10.42857143,10.15238095,10.78095238,9.104761905,9.104761905,9,119639283.8,45002752,768890392.4,8346394624,768890392.4,8126898176
13,16,500,0.2,39.5,2.2,4.8,2.0635,12.85,16.46,9.32,11.74,13.87,9.51,119791206.4,45603840,769042636.8,8346394624,769042636.8,8126898176
17,21,500,0.2,39.5,2.1,4.152857143,2.032857143,14.07142857,15.74285714,12.43809524,13.85238095,13.79047619,13.80952381,120059611.4,45704728.38,768893513.1,8346394624,768893513.1,8126898176
21,26,500,0.2,39.5,2.2,4.154761905,1.995238095,15.86666667,12.97142857,18.87619048,16.24761905,13.65714286,18.88571429,120520509,45479838.48,769051696.8,8346394624,769051696.8,8126898176
25,31,500,0.2,39.5,2.2,4.289047619,2.056666667,17.98571429,17.25714286,18.6,18.47619048,21.19047619,15.95238095,120878421.3,46083510.86,770071600.8,8346394624,770071600.8,8126898176
29,36,500,0.2,39.5,2.3,5.00952381,2.082857143,20.12380952,18.59047619,21.78095238,20.8952381,17.93333333,23.88571429,121510570.7,46137734.1,769856853.3,8346394624,769856853.3,8126898176
33,41,500,0.2,39.5,2.3,4.978095238,2.105714286,22,25.48571429,18.56190476,23.34285714,22.18095238,24.44761905,121933238.9,46272902.1,769584957,8346394624,769584957,8126898176
37,46,500,0.2,39.5,2.3,4.866190476,2.091428571,23.71428571,24.85714286,22.72380952,25.78095238,17.78095238,33.78095238,122413446.1,45830924.19,769496210.3,8346394624,769496210.3,8126898176
41,51,500,0.2,39.5,2.4,4.876190476,2.044285714,25.76666667,28.23809524,23.34285714,28,21.34285714,34.62857143,122829872.8,45725013.33,769283023.2,8346394624,769283023.2,8126898176
45,56,500,0.2,39.5,2.3,4.80952381,2.16047619,27.53809524,27.59047619,27.53333333,30.07142857,18.87619048,41.51428571,123277897.1,45641142.86,769451739.4,8346394624,769451739.4,8126898176
49,61,500,0.2,39.5,2.3,4.556190476,2.13952381,29.28571429,30.19047619,28.38095238,32.91904762,31.93333333,33.60952381,123616304.8,45311122.29,769263518.5,8346394624,769263518.5,8126898176
53,66,500,0.2,39.5,2.3,4.40952381,2.136190476,31.14285714,30.59047619,31.63809524,35.19047619,32.48571429,38.08571429,124030390.9,45613836.19,769287899.4,8346394624,769287899.4,8126898176
57,71,500,0.2,39.5,2.6,5.180952381,2.112380952,33.41904762,37.04761905,29.57142857,37.52380952,37.26666667,37.87619048,124619629.7,45401039.24,769477680.8,8346394624,769477680.8,8126898176
61,76,500,0.2,39.5,2.5,5.144761905,2.140952381,35.35714286,36.04761905,34.60952381,39.59047619,36.65714286,42.73333333,125378950.1,46097749.33,771286162.3,8346394624,771286162.3,8126898176
0,0,1000,0.1,77.9,2.1,8.885,3.435,9.135,9.36,8.85,4.76,4.58,4.94,126869708.8,44192563.2,766447820.8,8346394624,766447820.8,8126898176
5,6,1000,0.1,77.9,2.1,7.880952381,3.330952381,11.03333333,11.12380952,10.91428571,7.661904762,9.638095238,5.685714286,128182564.6,44201691.43,769072566.9,8346394624,769072566.9,8126898176
9,11,1000,0.1,77.9,2,7.257142857,3.357142857,12.62380952,11.92380952,13.07619048,10.14285714,6.59047619,13.61904762,128698660.6,43287308.19,768327094.9,8346394624,768327094.9,8126898176
13,16,1000,0.1,77.9,2,7.65,3.465,15.05,15.44,14.59,12.73,7.82,17.66,128846438.4,43388928,768764108.8,8346394624,768764108.8,8126898176
17,21,1000,0.1,77.9,2,7.342857143,3.310952381,16.42857143,18.12380952,14.73333333,14.76190476,18.25714286,11.33333333,128540672,43685205.33,768450169.9,8346394624,768450169.9,8126898176
21,26,1000,0.1,77.9,2,7.442857143,3.446666667,18.35714286,17.75238095,18.77142857,17.12857143,18.7,15.46190476,128480402.3,43414674.29,768793063.6,8346394624,768793063.6,8126898176
25,31,1000,0.1,77.9,2,7.542857143,3.41047619,20.25714286,20.27619048,20.36190476,19.5952381,13.28571429,25.96190476,128626493,43664725.33,769067495.6,8346394624,769067495.6,8126898176
29,36,1000,0.1,77.9,2.1,8.3,3.438571429,22.46190476,23.32380952,21.64761905,21.78571429,16.00952381,27.54285714,128761856,44116845.71,769332175.2,8346394624,769332175.2,8126898176
33,41,1000,0.1,77.9,2.1,7.576190476,3.408571429,23.98095238,22.41904762,25.63809524,24.38095238,18.84761905,29.83809524,128840850.3,43262537.14,769074517.3,8346394624,769074517.3,8126898176
37,46,1000,0.1,77.9,2.1,7.476190476,3.383809524,25.85714286,25.85714286,25.71428571,26.56190476,20.0952381,33.16190476,129239527.6,43847875.05,769403172.6,8346394624,769403172.6,8126898176
41,51,1000,0.1,77.9,2.1,7.514285714,3.386190476,27.68095238,25.18095238,30.17142857,29,20.74285714,37.19047619,130261187,44046043.43,769635084.2,8346394624,769635084.2,8126898176
45,56,1000,0.1,77.9,2.1,7.471428571,3.438571429,29.47619048,27.52380952,31.57142857,31.37142857,25.86666667,36.83809524,131802258.3,44193499.43,769681505.5,8346394624,769681505.5,8126898176
49,61,1000,0.1,77.9,2.2,7.619047619,3.356190476,31.5047619,31.95238095,31.03809524,33.71428571,37.65714286,29.92380952,132984246.9,44211248.76,769651663.2,8346394624,769651663.2,8126898176
53,66,1000,0.1,77.9,2.2,7.676190476,3.398095238,33.52380952,31.23809524,35.66666667,36.18095238,26.18095238,46.36190476,134061104.8,44823503.24,770274645.3,8346394624,770274645.3,8126898176
57,71,1000,0.1,77.9,2.2,8.42,3.56,37.05,42.05,32,39.75,34.33,45.1,135436697.6,43846451.2,770118860.8,8346394624,770118860.8,8126898176
61,76,1000,0.1,77.9,2.4,8.871428571,3.452857143,37.76190476,36.33333333,39.15238095,40.85714286,34.42857143,47.40952381,137115745.5,44117625.9,769365138.3,8346394624,769365138.3,8126898176
0,0,500,0.2,39.5,2.1,4.533333333,2.222222222,6.1,6.211111111,5.988888889,3.833333333,3.9,3.766666667,137835861.3,45318826.67,767562183.1,8346394624,767562183.1,8126898176
5,6,500,0.2,39.5,2.2,4.655,2.1075,8.685,8.17,9.29,6.865,7.79,5.9,138234060.8,45509632,771052544,8346394624,771052544,8126898176
9,11,500,0.2,39.5,2.2,4.595238095,2.062857143,10.41428571,11.39047619,9.580952381,9.00952381,10.72380952,7.314285714,138999320.4,45951853.71,771067318.9,8346394624,771067318.9,8126898176
13,16,500,0.2,39.5,2.1,4.20952381,2.00047619,12.1952381,11.93333333,12.38095238,11.26190476,11.28571429,11.39047619,139595581,45538742.86,771060882.3,8346394624,771060882.3,8126898176
17,21,500,0.2,39.5,2.1,4.215,2.121,14.6,14.65,14.38,14.2,11.26,17.34,140216524.8,45348044.8,771350118.4,8346394624,771350118.4,8126898176
21,26,500,0.2,39.5,2.2,4.082857143,2.131904762,16.05714286,17.43809524,14.37619048,16.18571429,17.08571429,15.42857143,141491053.7,45512606.48,770869735.6,8346394624,770869735.6,8126898176
25,31,500,0.2,39.5,2.1,4.042857143,2.14,17.76190476,20.82857143,14.73809524,18.6,17.1047619,20.25714286,142118131.8,45355008,770854521.9,8346394624,770854521.9,8126898176
29,36,500,0.2,39.5,2.2,4.496666667,2.111428571,19.9,23.19047619,16.84761905,21,13.4,28.64761905,142384176.8,45378608.76,771331218.3,8346394624,771331218.3,8126898176
33,41,500,0.2,39.5,2.3,4.635238095,2.091428571,21.73333333,23.20952381,20.40952381,22.91904762,23.61904762,22.31428571,142652172.2,46483943.62,772313673.1,8346394624,772313673.1,8126898176
37,46,500,0.2,39.5,2.4,5.17,2.105238095,23.9,23.14285714,24.61904762,25.75714286,23.4,28.01904762,143171779,45820391.62,772274468.6,8346394624,772274468.6,8126898176
41,51,500,0.2,39.5,2.4,4.857142857,2.144285714,25.61904762,27.9047619,23.4,28.19047619,23.96190476,32.55238095,143588595.8,46530950.1,772812409.9,8346394624,772812409.9,8126898176
45,56,500,0.2,39.5,2.4,5.242857143,2.153333333,27.71904762,30.92380952,24.52380952,30.52380952,28.84761905,32.17142857,143705819.4,45497587.81,771164257.5,8346394624,771164257.5,8126898176
49,61,500,0.2,39.5,2.5,5.367619048,2.216190476,29.61904762,29.92380952,29.38095238,32.44761905,32.08571429,33.06666667,144002291.8,46200539.43,771947373.7,8346394624,771947373.7,8126898176
53,66,500,0.2,39.5,2.4,4.984761905,2.147619048,31.47619048,26.13333333,36.71428571,35.0952381,25.32380952,45.2,144273993.1,46600387.05,772574646.9,8346394624,772574646.9,8126898176
57,71,500,0.2,39.5,2.4,4.957142857,2.13047619,33.28571429,37.28571429,29.40952381,37.66666667,38.15714286,37.07142857,144543744,46775929.9,773046467,8346394624,773046467,8126898176
61,76,500,0.2,39.5,2.4,4.995238095,2.174285714,35.18095238,33.61904762,36.68571429,40.0952381,30.8047619,49.1047619,144981040.8,46813184,773907407.2,8346394624,773907407.2,8126898176
0,0,1000,0.1,77.9,2,8.215,3.4145,8.8,9.03,8.55,4.84,4.71,4.97,146065203.2,45255475.2,769411072,8346394624,769411072,8126898176
5,6,1000,0.1,77.9,2,7.385714286,3.359047619,10.86190476,11.8,9.942857143,7.623809524,7.638095238,7.647619048,146684976.8,45062046.48,771448051.8,8346394624,771448051.8,8126898176
9,11,1000,0.1,77.9,2.1,8.452380952,3.376190476,13.1952381,12.77142857,13.66666667,9.776190476,9.076190476,10.53333333,147941473.5,45067702.86,771704734.5,8346394624,771704734.5,8126898176
13,16,1000,0.1,77.9,2,7.647619048,3.316190476,14.49047619,13.4,15.77142857,12.50952381,9.933333333,14.81904762,149008384,44063597.71,770792496.8,8346394624,770792496.8,8126898176
