CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
41,51,5333,0.01875,400,2.9,35.52727273,13.08363636,45.54545455,46.18181818,45.03636364,33.59545455,35.74545455,31.53636364,162954333.1,67744861.09,799378711.3,8346394624,799378711.3,8126898176
45,56,5333,0.01875,400,3.6,36.47619048,13.56666667,49.0952381,47.0952381,51.0952381,37.08095238,37.08571429,37.02857143,171716608,68872874.67,800355279.2,8346394624,800355279.2,8126898176
0,0,4000,0.025,301.3,2.2,27.32272727,10.05,22.48181818,21.64545455,23.2,8.854545455,9.154545455,8.590909091,172964398.5,64503621.82,790510126.5,8346394624,790510126.5,8126898176
5,6,4000,0.025,301.3,2.1,25.21818182,10.29727273,23.5,23,23.93636364,11.92727273,13.88181818,9.818181818,174174208,64890321.45,793831796.4,8346394624,793831796.4,8126898176
9,11,4000,0.025,301.3,2.1,25.03181818,10.16272727,25.18636364,24.02727273,26.39090909,13.99545455,15.15454545,12.79090909,175896576,63918080,793602234.2,8346394624,793602234.2,8126898176
13,16,4000,0.025,301.3,2.2,26.14285714,10.79047619,28.04761905,26.57142857,29.47619048,16.82857143,18.19047619,15.6952381,178347251.8,63467715.05,793322447.2,8346394624,793322447.2,8126898176
17,21,4000,0.025,301.3,2.3,26.0952381,10.52380952,29.9047619,28.28571429,31.38095238,19.18571429,18.62857143,19.83809524,181868056.4,64610694.1,794490587.4,8346394624,794490587.4,8126898176
21,26,4000,0.025,301.3,2.2,25.5,10.17545455,30.63181818,29.13636364,32.3,20.80909091,19.40909091,22.38181818,181383540.4,63765410.91,793018554.2,8346394624,793018554.2,8126898176
25,31,4000,0.025,301.3,2.3,25.71363636,10.09409091,32.5,31.94545455,32.87272727,23.06363636,27.01818182,19.29090909,181588712.7,65051927.27,795030434.9,8346394624,795030434.9,8126898176
29,36,4000,0.025,301.3,2.3,26.7,10.65238095,35.52380952,33.38095238,37.52380952,26.53809524,28.36190476,24.38095238,181043785.1,64919064.38,794782963.8,8346394624,794782963.8,8126898176
33,41,4000,0.025,301.3,2.4,25.78181818,10.23636364,35.9,35.43636364,36.36363636,27.71363636,30.84545455,24.67272727,180302941.1,64683845.82,794539659.6,8346394624,794539659.6,8126898176
37,46,4000,0.025,301.3,2.5,26.34090909,10.33454545,37.8,37.66363636,37.91818182,30.00454545,22.4,37.31818182,181654248.7,64002792.73,793956910.5,8346394624,793956910.5,8126898176
41,51,4000,0.025,301.3,2.4,26.08181818,10.16454545,39.42272727,37.75454545,41.18181818,32.41363636,31.37272727,33.27272727,180748101.8,63569175.27,793411770.2,8346394624,793411770.2,8126898176
45,56,4000,0.025,301.3,2.4,27.38095238,10.42857143,43,42.71428571,43.38095238,35.52857143,34.02857143,36.98095238,180423923.8,64320073.14,794442410.7,8346394624,794442410.7,8126898176
49,61,4000,0.025,301.2,2.5,26.35,10.32727273,42.92272727,41.66363636,44.18181818,36.69090909,29.10909091,44.06363636,180139659.6,64714379.64,794465000.7,8346394624,794465000.7,8126898176
53,66,4000,0.025,301.3,2.6,25.34395652,9.869130435,43.48695652,40.48695652,46.15652174,37.40869565,34.28695652,40.20869565,182288562.1,65974984.35,795683083.1,8346394624,795683083.1,8126898176
57,71,4000,0.025,301.3,2.6,26.4,10.34090909,46.35454545,42.65454545,50.18181818,41.17727273,35.17272727,47.27272727,187926900.4,63664872.73,794256290.9,8346394624,794256290.9,8126898176
61,76,4000,0.025,301.3,2.6,27.57142857,10.4952381,50.33333333,46.04761905,54.61904762,44.76666667,48.7047619,40.92380952,190069223.6,64920429.71,795484355,8346394624,795484355,8126898176
0,0,5333,0.01875,400,2.4,36.10454545,13.61363636,28.46363636,27.16363636,29.9,11.16818182,11.65454545,10.90909091,194433768.7,67722705.45,793117044.4,8346394624,793117044.4,8126898176
5,6,5333,0.01875,400,2.3,33.84545455,13.38954545,29.68636364,29.24545455,30.27272727,13.75454545,14.18181818,13.26363636,198741643.6,69094865.45,799392116.4,8346394624,799392116.4,8126898176
9,11,5333,0.01875,400,2.5,35.71428571,13.81428571,32.85714286,31.85714286,34,16.48095238,16.16190476,16.84761905,202643943.6,69819440.76,800882883,8346394624,800882883,8126898176
