CPU Stress, Cpu-2,NumOfRequests,Period, Throughput, Response Time,Acme Web CPU Usage,MongoDB CPU Usage,VM 1 Avg Host CPU Usage,VM 1 Host CPU 0 Usage,VM 1 Host CPU 1 Usage,VM 2 Avg Host CPU Usage,VM 2 Host CPU 0 Usage,VM 2 Host CPU 1 Usage,MongoDB Memory Usage,Acme Web Memory Usage,VM 1 Host Mem Usage,VM 1 Host Mem Total,VM 2 Host Mem Usage,VM 2 Host Mem Total
57,71,2000,0.05,154.3,2.2,14.2047619,5.785714286,39.61904762,36.23809524,43.04761905,39.73333333,37.53333333,42.07619048,137704204.2,48808521.14,774852998.1,8346394624,774852998.1,8126898176
61,76,2000,0.05,154.3,2.2,15.005,5.975,43.5,38.95,48.05,43.65,28.6,58.65,140480716.8,47431065.6,773315174.4,8346394624,773315174.4,8126898176
0,0,1333,0.075,108.2,2,11.65263158,4.5,11.22105263,11.10526316,11.30526316,5.473684211,5.178947368,5.768421053,141823568.8,44863056.84,767505246.3,8346394624,767505246.3,8126898176
5,6,1333,0.075,108.2,2,10.025,4.356,12.705,11.59,13.74,8.59,8.1,8.96,142623129.6,45755801.6,770622668.8,8346394624,770622668.8,8126898176
9,11,1333,0.075,108.2,2,9.97,4.3195,14.87,12.87,16.77,10.79,12.2,9.555,143906611.2,46051532.8,770869452.8,8346394624,770869452.8,8126898176
13,16,1333,0.075,108.2,2.1,9.385714286,4.203333333,15.97619048,14.34285714,17.65714286,12.98095238,12.0952381,13.82857143,145254887.6,45285766.1,770237586.3,8346394624,770237586.3,8126898176
17,21,1333,0.075,108.2,2.1,10.1047619,4.204761905,18.38095238,18.14285714,18.57142857,15.19047619,11.80952381,18.8,146310290.3,45730474.67,770806345.1,8346394624,770806345.1,8126898176
21,26,1333,0.075,108.2,2,9.769047619,4.207142857,19.88571429,19.16190476,20.60952381,17.68095238,14.63809524,20.66666667,147376615.6,46002761.14,771467556.6,8346394624,771467556.6,8126898176
25,31,1333,0.075,108.2,2,10.195,4.485,22.7,25.39,20.05,20.8,15.68,25.9,149417574.4,47260876.8,772787200,8346394624,772787200,8126898176
29,36,1333,0.075,108.2,2.1,9.814285714,4.295714286,23.52857143,22.87619048,24.38095238,22.52380952,17.24761905,27.85714286,151642307,46492720.76,771580099,8346394624,771580099,8126898176
33,41,1333,0.075,108.2,2.2,10.92190476,4.30952381,26.13333333,24.61904762,27.58095238,24.97142857,22.9047619,27.00952381,152638025.1,46631204.57,771973315,8346394624,771973315,8126898176
37,46,1333,0.075,108.2,2.1,10.10714286,4.29047619,27.56666667,31.42857143,23.65714286,26.96666667,21.02857143,33.2,154461915.4,47249700.57,772592396.2,8346394624,772592396.2,8126898176
41,51,1333,0.075,108.2,2.2,10.95238095,4.306666667,29.8952381,29.08571429,30.37142857,29.66666667,17.67619048,41.7047619,156624408.4,47340202.67,773016234.7,8346394624,773016234.7,8126898176
45,56,1333,0.075,108.2,2.3,11.09809524,4.266666667,31.76190476,30.9047619,32.4952381,31.83333333,26.26666667,37.41904762,158280557.7,47823920.76,773743957.3,8346394624,773743957.3,8126898176
49,61,1333,0.075,108.2,2.2,10.58285714,4.285714286,33.0952381,31.85714286,34.48571429,34.21428571,33.62857143,34.79047619,159948605,45772409.9,771576198.1,8346394624,771576198.1,8126898176
53,66,1333,0.075,108.2,2.3,12.13,4.534,37.2,36.75,37.9,37.95,24.66,51.15,161760256,45487104,770824192,8346394624,770824192,8126898176
